,Name,Org,Sentence
12,['Daniel Riazat'],['Swedish Left Party'],"['Swedish Left Party MP\xa0Daniel Riazat even recommended the public hide migrants up for deportation from the police,\xa0saying: “My message to all who can: Hide a refugee.']"
13,['Tegnell'],['Public Health Authority'],"['Tegnell, who leads the Swedish\xa0Public Health Authority’s campaign against the virus outbreak, said he did not think he bore any personal responsibility for the growing number of confirmed cases now being reported in homes for the elderly, the most at-risk segment of society for fatal cases of the disease.']"
14,['Titti Mattsson'],['Lund University'],"['A general lockdown in Sweden may not possible at all, according to\xa0Titti Mattsson, a professor of public law at Lund University, who said that the current Swedish law does not allow for such restrictions on freedom of movement.']"
15,['Tracy Brennan'],['Hillingdon Hospitals NHS foundation'],"['Tracy Brennan, a healthcare assistant, or auxiliary nurse, working at Hillingdon Hospitals NHS foundation trust in London, said that her bosses ordered her to take off her protective mask when she returned to work following two weeks of self-isolating due to her daughter displaying symptoms of the coronavirus.']"
16,['Webb'],"['The Economist', 'Amazon', 'Amazon']","['As\xa0Webb observed of the company, “Cost control is often a euphemism for low wages, ungenerous benefits.”\xa0Moreover, “A 2018 analysis by The Economist found that after Amazon opens a storage depot, local wages for warehouse workers fall by an average of 3%.”\n\nIn its defense, Amazon says that it offers its lowest-paid employees $15 an hour, with an additional $2 an hour as a sort of coronavirus hazard-pay bonus—but only through the end of April.']"
17,['Jean-Claude Juncker'],"['European Commission', 'EU']","['Others, such as previous European Commission President Jean-Claude Juncker, have welcomed the idea of millions of new African migrants, saying the EU member states “have to provide [Africans] who want to come, and are able to come, and whose situation makes it possible for them to come, with legal paths to get to Europe.”']"
18,['B Sriramulu'],['Twitter'],"['We will take legal action against them,” Health and Family Welfare Minister B Sriramulu said of the incident via Twitter.']"
19,['Aleksandar Vulin'],['Defense'],"['Serbia’s Defense Minister Aleksandar Vulin has thanked Moscow for sending the aid, saying it shows “that we are not alone, that the Russian Federation and the Russian people will always be with us whenever it is needed.”\n\nThe transport follows last month’s deployment of a similar Russian coronavirus task force to Italy and the delivery of medical supplies to the United States.']"
20,['Boulos Halim'],['Church'],['Church spokesman Boulos Halim said these were “unprecedented and historic” measures implemented to stem the crisis.']
21,['David Olivier Reverdy'],['National Police Alliance'],"['David Olivier Reverdy, from the National Police Alliance union, said the assailant had called on police to kill him when they came to arrest him.']"
22,['Christophe Castaner'],['Interior'],"['“My wife tried to help the victim but in vain.”\n\nInterior Minister Christophe Castaner, who visited the scene, said two people were killed and five others injured.']"
23,['Christian Bayer'],['University of Bonn'],"['“If you share a house, it’s very likely that other people will get it,” said University of Bonn professor Christian Bayer, who co-authored a new research paper on coronavirus transmission.']"
24,['Walter Ricciardi'],['Telegraph'],"['“The way in which we code deaths in our country is very generous in the sense that all the people who die in hospitals with the coronavirus are deemed to be dying of the coronavirus,” said professor Walter\xa0Ricciardi, the scientific adviser to Italy’s minister of health, according to the Telegraph.']"
25,['Dabo Swinney'],['Clemson'],"['Clemson coach Dabo Swinney says he has “zero doubt” that the 2020 college football season will start on time, despite the coronavirus.']"
26,['Swinney'],['Tigers'],"['I’ve got one plan, and that’s to get the Tigers ready to play in late August, early September,” Swinney said.']"
27,['Angelo Borrelli'],['Civil Protection'],"['“Today, for the first time, we have a very important figure,” said the head of Italy’s Civil Protection, Angelo Borrelli during a press conference on Saturday.']"
28,['Carr'],['FCC'],"['You can look at this petition and say this isn’t going to get traction with this FCC, but remember when it comes to greater government control of the Internet, it’s called net neutrality,” Carr said.']"
29,['Eugene Scalia'],"['NASSCOM', 'Labor']",['The Indian report did not say if the NASSCOM lobbyists met with Labor Secretary Eugene Scalia.']
30,['Kevin Lynn'],"['Tech Workers', 'H-1B']","['If the administration moves forward in relaxing regulations governing the H-1B program amid spiking unemployment, “get ready for the pitchforks,” said Kevin Lynn, founder of the U.S. Tech Workers group that opposes the H-1B program.']"
31,['Scalia'],"['NASSCOM', 'Labor', 'H-1B', 'the Times of India']","['“When people have nothing left to lose, they will lose it — and they will direct it at the elites.” He continued:\n\nThe NASSCOM business association asked Labor Secretary Scalia to allow their imported H-1B visa workers to work at home during the coronavirus epidemic,\xa0said the Times of India.']"
32,['Mehta'],"['LCA', 'H-1B']","['But, he added, “if an employee works from a home which is NOT within commuting distance from the workplace, the employer should obtain a new LCA for that location and file an H-1B amendment,” Mehta said.']"
33,['Mehta'],['NASSCOM'],"['“If\xa0the employer decides to temporarily suspend employment, bench or furlough the employee, the required wage must still be paid notwithstanding the sudden economic downturn caused by the COVID-19 pandemic.”\n\nThe NASSCOM companies can change their workers’ hour and pay by changing their LCAs, said Mehta.']"
34,['Kuck'],"['LCA', 'DHS', 'NASSCOM']","['“Converting the employment from full time to part-time employment would be considered a material change as the employer must obtain a new LCA.”\n\nKuck says DHS can quickly solve the problem:\n\nThe third problem for the NASSCOM workforce is that fired H-1Bs must leave the country in 60 days, according to a January 2017 regulation.']"
35,['Rebecca Edwards'],['Falklands’'],"['The Falklands’ chief medical officer, Dr Rebecca Edwards, said authorities were working with the British military on tracing people who may have come into contact with the patient.']"
36,['Grijalva'],['COVID-19'],"['COVID-19 doesn’t discriminate,” Grijalva said, echoing his counterparts.']"
37,['Judy Moore'],"['the Temple University Hospital Emergency Fund', 'the Cardiomyopathy and Heart Transplant Center', 'Pink']","['“In an effort to support the healthcare professionals who are battling on the frontlines every day, I am donating $500,000 to the Temple University Hospital Emergency Fund in Philadelphia in honor of my mother, Judy Moore, who worked there for 18 years in the Cardiomyopathy and Heart Transplant Center,” Pink said.']"
38,['Ron Nirenberg'],"['COVID-19', 'Click2Houston']",['San Antonio Mayor Ron Nirenberg said he will amend his public health emergency order to “prohibit nursing-home staff from working in multiple facilities.” Galveston County officials issued a similar order that prohibits workers from a facility that has a COVID-19 case from working in another facility.”\n\nClick2Houston reports COVID-19 outbreaks in other nursing homes in the Houston area.']
39,['Petre'],['COVID'],"['I do receive emails [for] the numbers from the hospital on a daily basis.”\n\n“I would say that, of the COVID patients, around 15 percent are becoming critically ill and require hospitalization,” estimated Petre, “and I would say five percent of those require ICU.']"
40,['Petre'],['Navy'],"['So I would say we’ve seen a dramatic decrease of regular healthcare needs.”\n\nPetre remarked, “The Comfort ship — the Navy ship that came to New York — they have a 1,000-bed capacity, and they decided to keep that ship just for non-COVID patients to divert patients who are not infected, to keep them separate, and they have only 20 patients because there’s no need.']"
41,['Marcak'],['Zoom'],"['“The bigger issue here is that Zoom has apparently written their own scheme for encrypting and securing calls,” he said, and that “there are Zoom servers in Beijing that have access to the meeting encryption keys.”\n\n“If you’re a well-resourced entity, obtaining a copy of the Internet traffic containing some particularly high-value encrypted Zoom call is perhaps not that hard,” said Marcak.']"
42,['Azar'],['Medicaid'],"['You would be eligible for a special enrollment period on the healthcare exchanges, and depending on your state, you will be eligible for Medicaid,” Azar said.']"
43,['Jean-Raphael Bourge'],['Action Barbès'],"['Jean-Raphael Bourge, president of the residents’ association Action Barbès, was more critical of the situation, saying, “This scene is less a manifestation of non-compliance with the rules than an act of rebellion.”\n\n“It highlights the conflicting relationship that some young people may have with the authorities,” he added.']"
44,['Trump'],"['The Southern Poverty Law Center', 'Portland-based Innovation Law Lab', 'Oregon Public Broadcasting', 'OPB']","['“The Southern Poverty Law Center and Portland-based Innovation Law Lab, among others, sued the Trump administration over what they say is a patchwork of confusing and inconsistent measures that put the public at risk during a\xa0global\xa0pandemic,” said a report by Oregon Public Broadcasting (OPB).']"
45,['Jim Luke'],"['Lansing Community College', 'Medium']","['It comes individually wrapped and is shipped on huge pallets, rather than in brightly branded packs of six or 12.”\n\n“Not only is it not the same product, but it often doesn’t come from the same mills,” Jim Luke, a professor of economics at Lansing Community College, who once was head of planning for a wholesale paper distributor, said in the Medium report.']"
46,['Willy Shih'],"['Harvard Business School', 'Medium']","['“The normal distribution system is like a well-orchestrated ballet,” Willy Shih, a professor at Harvard Business School, said in the Medium report.']"
47,['James Agresti'],"['Breitbart News', 'Just Facts']","['In a phone interview with Breitbart News, James Agresti, president of nonprofit research institute Just Facts, said his group’s research and resulting spreadsheet of data have focused on a more comprehensive measure to assess the severity of COVID-19 than those that have been presented in the media.']"
48,['Donald Trump'],"['Navy', 'Navy', 'Navy']","['Now they expect to have this permission come down from the acting Secretary of the Navy, notice I said ‘acting,’ because there is no Secretary of the Navy because the last Secretary of the Navy resigned when Donald Trump overrode his orders which impacted the good order and discipline of our sailors.']"
49,['Brett Crozier'],['Navy'],"['This world is upside-down, and let me tell you, if I have anything to say about it, I think that Brett Crozier is a great candidate for the next Secretary of the Navy.”']"
50,['DiCaprio'],"['World Central Kitchen', 'Feeding America']","['“In the face of this crisis, organizations like World Central Kitchen and Feeding America have inspired us all with their unwavering commitment to feed the most vulnerable people in need,” said DiCaprio.']"
51,['Schwarzenegger'],['Instagram'],"['“I never believed in sitting on the couch and complaining about how bad things are,” said Schwarzenegger on Instagram.']"
52,['Cyrus'],"['MAC Cosmetics', 'MAC Viva Glam', 'VIVA GLAM']","['“I am so proud to have been chosen to announce MAC Cosmetics efforts, because MAC Viva Glam has a special place in my heart,” said Cyrus, adding that “100 percent of the proceeds” of VIVA GLAM lipsticks will go toward these local organizations.']"
53,['Roosevelt'],"['Navy', 'Centers for Disease Control and Navy']",['The memo urged Navy leaders to get nearly all the Roosevelt’s sailors off the ship amid a coronavirus outbreak and said living conditions on and off the ship were not in compliance with\xa0Centers for Disease Control and Navy guidance for social distancing and quarantining.']
54,['Mark Esper'],"['the White House', 'Defense']","['He said he did not speak to anyone at the White House before making this decision, but that Defense Secretary Mark Esper supported his decision.']"
55,['Milley'],"['Navy', 'Navy']","['“The secretary of the Navy is responsible to the American people for the good order and discipline of the Navy,” Milley said.']"
56,['Brooke Baldwin'],['Johns Hopkins University'],"['The Newsroom with Brooke Baldwin host said she will put her anchor duties on hold until she recovers from the disease that has sicked\xa0258,214 Americans and killed\xa06,605 as of Friday afternoon, according to data tracked by Johns Hopkins University.']"
57,['Rachel Levine'],['Health'],"['“The continued rise in cases combined with our increasing deaths from COVID-19 reflects the seriousness of this situation,” Secretary of Health Dr. Rachel Levine said of the latest figures.']"
58,['Cuomo'],['American'],['Cuomo said he would work with American and New York companies to help transition their companies to produce medical protection equipment.']
59,['Panelo'],['Left'],"['In issuing the warning to the Left as well as to those who instigate riots and violence, he is merely reminding them that the government is ready to forcibly quell any unrest and disturbance that threaten public safety, specially at this time of national emergency,” Coconuts quoted Panelo as saying.']"
61,['Bill de Blasio'],['CNN'],"['Appearing Friday on\xa0CNN’s\xa0New Day, New York City Mayor Bill de Blasio (D) said his city will deplete its\xa0ventilator supply as it ramps up its fight against the deadly spread of the Chinese coronavirus.']"
62,['Elizabeth Baker'],['Navy'],"['“We’re bringing them on as fast as we can bring them on,” Navy spokeswoman Elizabeth Baker said.']"
63,['Michael Dowling'],"['Northwell Health', 'Times']","['“If I’m blunt about it, it’s a joke,” Michael Dowling, the head of New York’s Northwell Health said, according to the Times.']"
64,['Amersbach'],['Comfort'],"['While that is not currently the case for the Comfort, Amersbach, the ship’s commanding officer, said they will “do what we can to meet that mission” if it does, indeed, shift.']"
65,['Chanos'],['Kynikos Associates'],"['“I think the gig economy companies are going to come out of this harmed, not enhanced,” said Chanos, founder of Kynikos Associates.']"
66,['Chanos'],"['Uber', 'Lyft', 'GrubHub']","['“I know there’s a body of thought that oh, well everybody will just do food delivery and we’ll all take Ubers and no one is going to buy a car again, and I think the flip side of it is that the labor pool issue for the gig economy companies is going to loom very very large coming out of this crisis.”\n\nChanos said that unemployment benefits being paid to gig economy workers could highlight certain issues with the models of companies such as Uber, Lyft, and GrubHub as these companies classify drivers as independent contractors rather than employees meaning that the companies have avoided paying into unemployment programs as a traditional employer would.']"
67,['Cuomo'],['The National Guard'],"['“The National Guard are going to be deployed to pick them up across the state, and deploy them to places that we need them,” Cuomo said during a press conference on Friday.']"
68,['Crozier'],['Navy'],"['Crozier had cc’ed the memo to more than 20 people, including some outside his chain of command, and transmitted via unsecured and unclassified lines, making it easy to leak, Navy officials said.']"
69,['Crozier'],['Navy'],['The acting Navy Secretary said Crozier also wrote and distributed the memo despite being given a direct line to him if he ever needed it.']
70,['Joe Exotic'],['COVID-19'],"['While prison officials haven’t said why he was moved, Joe Exotic’s husband said on SiriusXM’s Andy Cohen Live that he has been placed in COVID-19 isolation.']"
71,['Dillon Passage'],['COVID-19'],"['His husband, Dillon Passage, said on Andy Cohen Live on Wednesday said that they stay in touch and talk “three to five times every day.”\n\n“But since he’s been moved to this new facility, they’re putting him on like a COVID-19 isolation because of the previous jail he was at — there were cases.']"
72,['Graham'],"['Gay Star News', 'Samaritan’s Purse']","['Gay Star News similarly wrote that Samaritan’s Purse may be able to force volunteers “to refuse treatment to LGBT+ people.”\n\nIn response to such groundless accusations, Graham said that “Samaritan’s Purse treats everyone we help the same.”\n\n“We do not make distinctions about an individual’s religion, race, sexual orientation, or economic status.']"
73,['Edward Beighley'],"['BCK Marketing', 'Sojourn Church Midtown']","['City officials said they didn’t know about the test sites before they began operating this week, but an email indicates the city provided guidance about health reporting requirements to Edward Beighley, president of BCK Marketing, who coordinated a testing location at Sojourn Church Midtown.']"
74,['Zabiullah Mujahid'],"['Taliban', 'Twitter', 'Taliban']","['Zabiullah Mujahid, a Taliban spokesperson, said via Twitter that the Taliban would “stop fighting” in areas under the group’s control, provided that those areas are affected by the Chinese coronavirus.']"
75,['Barbara Ferrer'],['the Los Angeles County Department of Public Health'],"['There are nine confirmed cases of coronavirus among Los Angeles’ homeless population, said Barbara Ferrer, director of the Los Angeles County Department of Public Health, at her Thursday media briefing.']"
76,['Macron'],['Le Figaro'],"['In 2019, 69 per cent of French said they didn’t expect Macron to enjoy a second term — but now he is enjoying support at levels which\xa0Le Figaro reports\xa0haven’t been seen in over two years.']"
77,['Evan Gattis'],"['Athletic', 'Astros']","['Speaking on the Athletic’s 755 is Real podcast, former Astros catcher Evan Gattis said “we f*cked up,” when talking about his team’s cheating ways.']"
78,['Mark Cuban'],"['3M', 'the White House']",['Billionaire Mark Cuban also exposed 3M distributors for making as much money as possible with the masks and even spoke to the White House about the “price gouging” he said was taking place.']
79,['Dayle Steinberg'],"['Planned Parenthood Pennsylvania Advocates', 'Planned Parenthood of Southeastern Pennsylvania', 'Planned Parenthood']","['Dayle Steinberg, chair of Planned Parenthood Pennsylvania Advocates and President and CEO of Planned Parenthood of Southeastern Pennsylvania, said in a statement that the state health department “confirmed that abortion care is essential, and must remain so during this public health crisis.”\n\n“While Planned Parenthood health centers across Pennsylvania continue to provide critical care during this pandemic crisis and work with our partner health care providers, we know that abortion cannot wait,” she said.']"
80,['Birx'],['White House'],"['“We don’t want people to get an artificial sense of protection because they’re behind a mask,” Birx said during the White House press briefing on Thursday.']"
81,['Zhang'],['Caixin'],"['“It’s basically down to a person’s immune system.”\n\nLike the others, Zhang questioned the official statistics: “They are saying that only a few thousand died here in Wuhan, but does that sound right?”\n\nA bombshell report by the Chinese independent outlet Caixin estimated that just one of Wuhan’s seven funeral homes handed out 5,000 urns in one day last week.']"
82,['Tong'],"['RTHK', 'WHO']",['The reprimand said Tong’s interview “breached the One-China Principle and the purposes and mission of RTHK as a public service broadcaster as specified in the charter.”\n\n“It is common knowledge that the WHO membership is based on sovereign states.']
83,['Fermi Wong'],['RTHK'],"['I don’t really understand why when a reporter is asking something relating to health, she or he has to remember there is ‘One Country, Two Systems’ … in line with the government or China,” said RTHK advisory panel member Fermi Wong.']"
84,['Tsai Ing-wen'],"['Foreign Ministry', 'WHO']",['Taiwan’s Foreign Ministry said over the weekend that WHO should “continue to review and improve upon some unreasonable restrictions imposed on Taiwan based on political considerations.”\n\nTaiwanese President Tsai Ing-wen announced on Wednesday that Taiwan will donate ten million protective masks and other medical supplies to countries hit hard by the coronavirus – supplies Taiwan can spare because it has logged only 329 coronavirus cases and five deaths to date.']
85,['Sandweg'],['DHS'],"['“Measures can and should be taken to protect the workforce, including limiting operations to only those that are only mission critical to protect national security and public safety.”\n\n“I know of no good reason why DHS should not release these numbers,” Sandweg said.']"
86,['Brandon Judd'],"['Congress', 'Border Patrol', 'DHS']","['Moreover, Congress and the public at large should also be aware, if only so that they can prioritize measures to protect the workforce.”\n\nBrandon Judd, president of a union of Border Patrol employees, said in a Wednesday interview that the agency needs to do more to protect DHS employees.']"
87,['Judd'],['Border Patrol'],"['“I don’t think the agency is doing enough to protect agents or individuals we come in contact with, period,”\xa0 said Judd, adding that at least six Border Patrol agents have tested positive and 42 are under quarantine.']"
88,['Luis Vizcaino'],"['the California Charter Schools Association', 'Times']","['Luis Vizcaino, spokesman for the California Charter Schools Association, said, according to the Times, that the union’s stance was “shameful and offensive”:\n\nIn Pennsylvania, while online charter schools were already delivering instruction to students when the coronavirus outbreak hit, state officials warned the charter schools they should not attempt to recruit new students during the shutdown of the brick-and-mortar schools.']"
89,['Steven Mnuchin'],['Treasury'],['Treasury Secretary Steven Mnuchin said Thursday he had sped up the timing on individual payments to Americans from three weeks to two weeks.']
90,['Mnuchin'],['IRS'],['Mnuchin said that Americans who had their direct deposit information already in the IRS system would receive their money in a timely fashion.']
91,['Mnuchin'],['Social Security'],"['Mnuchin said that Social Security recipients would get their money as well, even if they had not filed a return.']"
92,['Fauci'],['the White House'],['Even Dr. Fauci said that the move was not necessarily a mistake and that the experts the White House needed for the crisis were still in place.']
93,['Courrielche'],"['Breitbart News Daily', 'SiriusXM Patriot 125']","['It’s something that cannot be hidden, because it consumed the news at the time.”\n\nNews media conduct during the coronavirus outbreak will further reveal widespread left-wing and partisan Democrat biases to Americans, predicted Courrielche, saying, “I think it’s going to show the bias of the media, because and the media is … just as culpable as Washington, DC.”\n\nRed Pilled America‘s latest episode is titled, “A RACE AGAINST TIME: Could Washington D.C. have acted sooner to stop the coronavirus?”\n\nBreitbart News Daily broadcasts live on SiriusXM Patriot 125 weekdays from 6:00 a.m. to 9:00 a.m. Eastern.']"
94,['Tucker Carlson'],['Fox News'],"['Fox News’s Tucker Carlson said, ripping the plan in a segment on April 1:\n\nThat’s a total of 100,000 foreign workers coming to this country to take jobs during the single biggest unemployment crisis in a century.']"
95,['Pelosi'],['MSNBC'],"['“In terms of the elections, I think that we’ll probably be moving to vote by mail,” Pelosi\xa0said\xa0during an appearance on MSNBC’s\xa0Morning Joe\xa0on Tuesday.']"
96,['O’Keefe'],"['CNN', 'Facebook', 'Instagram', 'CNN']","['According to the CNN reporter, the Facebook spokesperson said\xa0“Equating COVID-19 with the common flu could cause people not to take the advice of medical professionals and thus contribute to the virus’ spread.”\n\nOn Instagram, O’Keefe condemned CNN for trying to get his video banned.']"
97,['Biden'],['the State Department'],"['Biden also blamed the U.S. for Iran’s suffering, saying steps needed to be taken “to ensure the United States is not exacerbating this growing humanitarian crisis.”\n\nThe U.S. offered aid to Iran in February, with the State Department noting that humanitarian aid would be exempt from sanctions:\n\nBut Iran rejected American aid, accusing the U.S. of spreading the virus deliberately to “poison” the Iranian people.']"
98,['Art Acevedo'],['Houston Police Department'],"['HOUSTON, Texas — Houston Police Department Chief Art Acevedo said burglaries in the city are up 20 percent since the issuance of “Stay-Home, Work-Safe” orders put in place by Harris County.']"
99,['Terry Cole'],['DEA'],"['“The Mexican drug cartels work hand-in-hand with corrupt Mexican government officials at high levels, said Terry Cole, a former Special Agent with the DEA.']"
100,['Cantrell'],['Mardi Gras'],"['Do you regret, in hindsight, not canceling Mardi Gras?”\n\nCantrell said, “Well, when you say many were surprised, that did not hit the ground at all.']"
101,['Seth Meyers'],['Medicare'],"['“We have a strong grassroots movement who believe that we have got to stay in in order to continue the fight, to make the world know that we need Medicare for all, that we need to raise the minimum wage to a living wage, that we need paid family and medical leave, one of the crises that we’re dealing with right now, that we must address climate change and education, all the issues that we have been talking about,” he said during a Monday appearance on Late Night with Seth Meyers.']"
102,['Tsai'],"['Global Times', 'the Taiwan Affairs Office', 'DPP', 'Democratic Progressive Party', 'DPP', 'DPP']","['On February 7, Chinese state newspaper Global Times published an opinion article in which it cited the Taiwan Affairs Office as saying “the DPP [Democratic Progressive Party] authority that is exploiting the epidemic to seek Taiwan independence is doomed to fail.”\n\nPresident Tsai is a member of the DPP and Taiwan’s unicameral legislature is majority DPP.']"
103,['Jean-Jacques Fuan'],['Honeywell'],"['Jean-Jacques Fuan, the former director of the site, lamented a lack of government support to save the factory in 2018, saying: “The company had benefited from significant subsidies at the time of the H1N1 flu, and yet there was no will to summon Honeywell to do everything to save the company.”\n\nThe French government had previously ordered 200 million masks to be produced at the factory in 2009 during the H1N1 virus outbreak.']"
104,['Frank Snowden'],['Yale University'],"['Yale University’s Frank Snowden, a pandemic historian, has labelled the Wuhan coronavirus a “disease of globalisation” and said the virus threatens “the economic and political sinews of globalisation, and [is] causing them to unravel to a certain degree”.']"
105,['Stephan von Dassel'],['Mitte'],"['The District Mayor for Mitte in Berlin, Stephan von Dassel, defended his decision to purposefully catch the COVID-19 virus, saying that it would mean he would be able to continue working, while other politicians in the city would be forced to take sick leave.']"
106,['Robert Kraft'],['Patriots'],"['“I’ve never seen so much red tape in so many ways and obstacles that we had to overcome,” Patriots Owner Robert Kraft said.']"
107,['Rodney Davis'],"['ProPublica', 'R-IL']","['The left-leaning ProPublica noted that a quickly implemented vote-from-home effort could lead to “increased voter fraud, logistical snafus, and reduced turnout among voters who move frequently or lack a mailing address.”\n\nRep. Rodney Davis (R-IL) has voiced his opposition to the legislation, saying Wednesday that it could take away election authority from states.']"
108,['Naji Abumrad'],['Vanderbilt'],"['“My longtime friend Dr. Naji Abumrad, who’s been involved in research at Vanderbilt for many years, informed me that they were making some exciting advancements towards research of the coronavirus for a cure,” the country star said.']"
109,['Comilla Sasson'],['the University of Colorado School of Medicine'],"['“In general, we’re just telling them not to use it,” said Dr.\xa0Comilla Sasson, an associate clinical professor of emergency medicine at the University of Colorado School of Medicine.']"
110,['Rokhsana Fiaz'],['the Evening Standard'],"['Rokhsana Fiaz, the mayor of Newham, said in comments reported by the Evening Standard: “We know that the number of deaths will rise.']"
111,['Fauci'],['White House'],"['In the same interview, Fauci also said Americans should not fear the White House task force projections estimating that up to 200,000 people could die from the Chinese coronavirus.']"
112,['Naveed Abidi'],['Bikram Yoga West Loop'],"['Teacher Naveed Abidi of Bikram Yoga West Loop studio said he thought the studio could remain open if the space was sanitized, class size limited, and students kept far enough apart.']"
113,['Mazloum Abdi'],"['SDF', 'SDF', 'ISIS', 'ISIS']","['Mazloum Abdi, a commander in the Kurdish-led SDF, said the riots bring new urgency to the SDF’s warnings that it cannot contain huge numbers of ISIS prisoners without outside assistance — ideally including foreign governments repatriating citizens who defected to ISIS, a step few countries have been eager to take.']"
114,['Attilio Fontana'],['La Repubblica'],"['Lombardy Governor Attilio Fontana said he was “mocked with insolent words” and called “racist” by his colleagues in February because he had asked for coronavirus testing for people coming in from China, according to a report by La Repubblica.']"
115,['Fontana'],['the Higher Institute of Health'],"['“Unfortunately, the Higher Institute of Health said that the first meeting to evaluate this certification has been postponed to next week,” said Fontana.']"
116,['Esper'],"['U.S. Southern Command', 'Southcom']","['Esper said to conduct the operations, the president has directed the deployment of military assets to the U.S. Southern Command (Southcom) area of responsibility.']"
117,['Esper'],['Southcom'],"['Esper said last year, Southcom seized over 280 metric tons of drugs, much of which was designated for shipment to the U.S.\n\n“While this was an incredible achievement, there is much more work to be done.']"
118,['Bill Barr'],['Justice Department'],['Attorney General Bill Barr said one of the Justice Department’s highest priorities remains to destroy the Mexican cartels.']
119,['Todd Nettleton'],['Voice of the Martyrs (VOM)'],"['But fighting the pandemic hasn’t stopped communist officials from persecuting Christians,” said Todd Nettleton, a spokesman for the nonprofit group Voice of the Martyrs (VOM), in late March.']"
120,['Frank Mitchell'],['Ministry of Defence'],"['The company’s CEO\xa0Frank Mitchell said in a statement that it had put in place “special measures to protect power supply for critical national infrastructure and public service sites; including hospitals, nursing homes, food supply chain businesses, Ministry of Defence sites and prisons”.']"
121,['Mike Fischer'],['The Times'],"['Mike Fischer said in comments reported by The Times that other facilities could take on the work, and hopes that if 1,000 labs join his informal network, they could do 800,000 tests a day.']"
122,['Barbara Ferrer'],['COVID-19'],"['Los Angeles County Public Health Director Dr. Barbara Ferrer said that two homeless individuals in the county tested positive for COVID-19, as well as one staff member working at an interim homeless housing shelter.']"
123,['Adnan Munkarah'],"['Henry Ford Macomb Hospital', 'Henry Ford Health System']","['“Like some of our other acute-care hospitals, Henry Ford Macomb Hospital has reached capacity, and we are working aggressively with clinical partners in the region in an effort to transfer additional patients,” said\xa0Dr. Adnan Munkarah, executive vice president and chief clinical officer of Henry Ford Health System.']"
124,['Munkarah'],['Henry Ford'],"['Patients will be evaluated for the best plan of care and dying patients will be provided comfort care.”\n\nOfficials at Henry Ford confirmed the authenticity of the draft letter shortly after it leaked, but they stressed at the time that it reflected a “worst case scenario.”\n\n“With a pandemic of this nature, health systems must be prepared for a worst case scenario,” Munkarah said.']"
125,['Zhang'],['CCP'],"['In the video, Zhang says he was once a young supporter of the ruling CCP, referring to himself as a former “little pink,” a term to describe youths indoctrinated by the regime.']"
126,['Zhang'],['Communist Party'],"['I call on you all to look upon the true colors of the [Chinese] Communist Party, and stand together to bring down this wall,” Zhang said.']"
127,['Trump'],['H-2A'],"['President Trump says he has committed to American farmers to continue admitting large numbers of H-2A foreign visa workers to take agricultural jobs, even as jobless claims are set to climb above 3.3 million in the midst of the Chinese coronavirus crisis.']"
