,Name,Org,Sentence
91,['Emily Combs'],['Mercy Hospital'],"['“If the mother chooses to remain with her baby, she has that right, but the recommendation now is that they are separated,” said Emily Combs, vice president of women’s services for Mercy Hospital St. Louis, where nearly 9,000 babies are born a year.']"
92,['Kelly'],"['Barnes-Jewish Hospital', 'St. Louis Children’s Hospital', 'COVID', 'Washington University']","['At Barnes-Jewish Hospital for adults, that means babies go across the street to St. Louis Children’s Hospital’s “COVID unit.”\n\n“We have a handful of cases every week, and numbers are going up,” said Washington University’s Kelly.']"
93,['Cuomo'],['Covid-19'],"['Meantime, an emergency hospital facility at the Javits Convention Center in Manhattan will provide 2,500 beds, treat Covid-19 patients and be staffed by the federal government, Cuomo said.']"
94,['Bradshaw'],['ICU'],"[""The ICU has expanded to handle more patients, Bradshaw said, and while health workers still have all the protective equipment they need, they're careful not to exhaust it in case they still have a lot of coronavirus patients three weeks from now.""]"
95,['Steegmann'],['CNN'],"['They said they can\'t take anybody on,"" Steegmann told CNN.']"
96,['Arthur Caplan'],"['CNN', 'the Division of Medical Ethics', 'the New York University School of Medicine']","['Dr. Arthur Caplan, a CNN medical analyst and direction of the Division of Medical Ethics at the New York University School of Medicine, said the pandemic will surely hurt patients without the virus.']"
97,['Renee Dua'],['Heal'],"['Telehealth helps, but not always\n\nHeal, a telehealth and home health service, has been in business for more than five years, but founder and chief medical officer Renee Dua said the business has seen a 640 percent increase in patients over the past month.']"
98,['Caplan'],['the White House'],"['""I think we should hear more from the White House about this problem,"" Caplan said.']"
100,['Fernando Simon'],['the Center for Coordination of Emergencies and Health Alerts'],"['Last week Fernando Simon, director of the Center for Coordination of Emergencies and Health Alerts, said: ""Although access to personal protective equipment is proving sufficient, it is true that at some points there may be critical moments.""']"
108,['Biden'],"['Cabinet', 'the Democratic Party']","[""Biden also said he's considered how he would fill his Cabinet, stressing that the people he'd select will reflect the country's diversity and the broad spectrum of the Democratic Party.""]"
109,['Sanjay Gupta'],['CNN'],"['""It\'s just inexcusable,"" CNN Chief Medical Correspondent Dr. Sanjay Gupta said Thursday night .']"
110,['Kemp'],['the Centers for Disease Control and Prevention'],"[""The governor's office says Kemp, a Republican, was referring to fresh guidance from the Centers for Disease Control and Prevention, which said earlier this week that exposure risk could happen two days before symptoms begin.""]"
111,['Kemp'],['CDC'],"['""For weeks it has been known that people who were positive for COVID-19 but did not have symptoms likely were able to transmit the virus,"" says the release, again reiterating Kemp\'s citation of the updated CDC guidance this week regarding potential spread among asymptomatic people.']"
112,['Douglas Donovan'],"['Johns Hopkins University', 'Covid-19']","['Johns Hopkins University, which is among few institutions that have been tracking recovered cases, has been doing so since its data collection on Covid-19 cases was first made public in an online dashboard in January, Douglas Donovan, a spokesman for the university in Baltimore, said in an email on Friday.']"
113,['Dean Baker'],['the Center for Economic & Policy Research'],"['""There\'s no doubt about it, they\'re getting hit worse,"" said Dean Baker, senior economist at the Center for Economic & Policy Research.']"
114,['Chris Gautz'],['the Michigan Department of Corrections'],"['""What we\'re finding is the hardest part right now is finding commercial placements for individuals without family or friends,"" said Chris Gautz, spokesman for the Michigan Department of Corrections.']"
115,['Barbara Banaszynski'],"['Program Operations', 'Volunteers of America']","['A lot of those people had no place to go,"" said Barbara Banaszynski, the senior vice president for Program Operations at Volunteers of America, a social services organization that has helped inmates released in the southern part of New Jersey.']"
116,['Dwayne Watterman'],['the New Jersey Reentry Corporation'],"['""It\'s been challenging, probably the most challenging in the history of our corporation,"" said Dwayne Watterman, the facility director for Hudson County at the New Jersey Reentry Corporation, a nonprofit that helps inmates find housing, employment and health care.']"
117,['B. Colby Hamilton'],"['Office of Criminal Justice', 'the Office of Emergency Management', 'the Department of Homeless Services']","['B. Colby Hamilton, spokesman for the Mayor\'s Office of Criminal Justice, said, ""For those in our custody who, upon release, advise they have nowhere to go, we are working with the Office of Emergency Management and the Department of Homeless Services to help find them immediate safe housing.']"
118,['Alexander Shalom'],"['Supreme Court Advocacy', 'the ACLU NJ']","['Alexander Shalom, senior supervising attorney and director of Supreme Court Advocacy, for the ACLU NJ, who co-brokered the deal, said even though they have a process ""that doesn\'t mean is working perfectly.']"
119,['Anthony Fauci'],['CNN'],"['In doing so, they\'ve collectively ignored the stay-at-home pleas of Dr. Anthony Fauci , the nation\'s top infectious disease expert, who said in a CNN interview: ""If you look at what\'s going on in this country, I just don\'t understand why we\'re not doing that.""']"
121,['Donald Trump'],['the US Strategic National Stockpile'],['President Donald Trump said this week that the US Strategic National Stockpile is nearly depleted.']
122,['Weaver'],['the Methodist Hospital'],"['\'It just feels right\'\n\n""I contacted the Methodist Hospital here in Omaha and they wanted to take every one that we made,"" Weaver said.']"
124,['Lav Agarwal'],['the Ministry of Health and Family Welfare'],"['So far, 647 cases have been directly linked to the gathering, said Lav Agarwal, a senior official of the Ministry of Health and Family Welfare.']"
125,['Katie Ray-Jones'],['the National Domestic Violence Hotline'],"['""Domestic violence is rooted in power and control, and all of us are feeling a loss of power and control right now,"" said Katie Ray-Jones, the CEO of the National Domestic Violence Hotline.']"
126,['Anne DePrince'],['University of Denver'],"['""I imagine that that is the tip of the iceberg,"" said Anne DePrince, a University of Denver psychology professor who studies domestic violence.']"
127,['Pirrello'],['Covid-19'],"['""If it [Covid-19] came in a way that people could process more acutely, maybe we could be more galvanized in our response,"" Pirrello says.']"
128,['Ulrich Lehner'],['the University of Notre Dame'],"['Unseen threats can also cause people to be more callous to fellow human beings, says Ulrich Lehner, a Catholic theologian at the University of Notre Dame.']"
129,['Sanjay Gupta'],"['CNN', 'the National Academy of Medicine']","['Dr. Sanjay Gupta, CNN Chief Medical Correspondent: I was getting messages from colleagues at the National Academy of Medicine [in the US], basically saying, ""Red flag.']"
130,['Kenneth Johnson'],['the University of New Hampshire'],"['""There\'s no way that the number of births is going to go up,"" says Kenneth Johnson, a professor of sociology and demographer at the University of New Hampshire.']"
131,['Rogelio Sáenz'],"['the Department of Demography', 'the University of Texas']","[""This disaster isn't the same as a blackout or hurricane, says Rogelio Sáenz, a professor in the Department of Demography at the University of Texas at San Antonio.""]"
132,['Roy Cooper'],['PPE'],"['Roy Cooper said Friday the government should ramp up its efforts to push for more personal protective equipment for healthcare workers, saying the state had received some, but not all of the PPE they had asked for.']"
133,['Donald Trump'],['the US Strategic National Stockpile'],['President Donald Trump said earlier this week the US Strategic National Stockpile is nearly depleted.']
134,['Levesque'],"['WWE', 'the Centers for Disease Control and Prevention']","['WWE has consulted with the Centers for Disease Control and Prevention, local and state officials, as well as its own medical staff to set extra precautions to protect wrestlers and staff, Levesque said.']"
136,['Silvio Brusaferro'],['National Health Institute'],"[""Italy has not reached the peak of coronavirus contagion, director of Italy's National Health Institute Silvio Brusaferro said Friday during a press conference.""]"
137,['Franco Locatelli'],['the National Health'],"['""If we had to decide today, I consider inevitable the extension of the measures, because we are not in a markedly declining phase, we are still in a containment phase,"" Franco Locatelli, president of the National Health institute said referring to the government containment measure that are in force till April 3.']"
138,['Thomas Massie'],['Rep'],"['Members of political parties are furious with Rep. Thomas Massie, a Republican from Kentucky, for not being clear about whether he will object to the coronavirus stimulus bill passing on voice vote, with some former top aides also saying the Kentucky Republican is endangering the safety of his colleagues.']"
139,['Pink'],['Covid-19'],['Pink said on social media Friday that she and her son spent weeks in isolation after positive tests for Covid-19 but a few days ago they both tested negative for the deadly infection.']
140,['Lewinger'],['FaceTime'],"['Like other families across the US right now, Lewinger had to say goodbye to her husband virtually, over FaceTime in their case.']"
141,['Garcetti'],['Covid-19'],"['More than 40,000 Angelenos have been tested for Covid-19, and\xa0Los Angeles\xa0has the capacity to do 3,500 tests a day in the coming week, Garcetti said.']"
142,['Vlad Kirgiz'],['The Evening Sacramento'],"['A lot of (people) believe they will be divinely protected, that God is stronger than the virus,"" said Vlad Kirgiz, the editor of The Evening Sacramento, a Russian language news blog.']"
143,['Anthony Fauci'],['the National Institute of Allergy'],"['Dr. Anthony Fauci, the director of the National Institute of Allergy: He said masks should not be used as a substitute for social distancing, but rather can be used as a supplement.']"
144,['Kentaro Iwata'],['Kobe University'],"[""If the current trend continues, the outlook is bleak, said Kentaro Iwata, an infection control specialist from Kobe University, who has repeatedly warned that Japan isn't doing enough to halt the spread of the virus.""]"
145,['Masahiro Kami'],['Medical Governance Research Institute'],"['""Coronavirus is very dangerous to old people,"" said Masahiro Kami, executive director of Japan\'s nonprofit Medical Governance Research Institute.']"
147,['Steven Mnuchin'],['Treasury'],['Small businesses wondering if help will arrive in time to avert bankruptcy saw hope when Treasury Secretary Steven Mnuchin said on Thursday that emergency loans would be available starting the next day.']
148,['Trump'],['White House'],"['""I always knew that pandemics are one of the worst things that could happen,"" Trump said at the White House coronavirus task force news briefing.']"
149,['Azar'],['a National Biodefense Strategy'],"['I think everyone in this room probably shares that concern,"" Azar said at the time, adding that the administration developed a National Biodefense Strategy.']"
150,['Sommers'],['Small Business Administration'],"['Although oil executives didn\'t ask for ""special treatment,"" Sommers said smaller oil companies should get access to Small Business Administration loans and larger ones should be able to tap programs set up as part of the $2 trillion stimulus package enacted last week.']"
151,['Robert Truog'],"['the Center for Bioethics', 'Harvard Medical School']","['""Physicians who work in parts of the world that don\'t have adequate resources have had to make decisions like this maybe even on a routine basis, but physicians in the United States have never faced anything like this before,"" said Dr. Robert Truog, director of the Center for Bioethics at Harvard Medical School .']"
152,['Robert Truog'],"['the Center for Bioethics', 'Harvard Medical School', 'Covid-19']","['Robert Truog, director of the Center for Bioethics at Harvard Medical School, says American doctors may face new ethical challenges in trying to triage limited ventilators for Covid-19 patients.']"
153,['White'],['UPMC'],"['UPMC confirmed that its 40 hospitals have since adopted the framework, and White said the state of Pennsylvania has implemented interim guidance to public hospitals based on his framework as well.']"
154,['Mike Pence'],"['the Food and Drug Administration', 'FDA']","['Moments later, Vice President Mike Pence said the Food and Drug Administration had “approved” a new method to test the coronavirus, even though the FDA only granted emergency authorization for the test, which requires a much lower standard.']"
155,['Pence'],"['FDA', 'Cellex']","['“And the big news, of course, over the last few days was that the FDA, once again, in near record time, has approved an antibody test developed by Cellex,” Pence said.']"
156,['Donald Trump'],"['CNN', 'Centers for Disease Control and Prevention']",['(CNN) President Donald Trump says the US Centers for Disease Control and Prevention is issuing new recommendations advising Americans to voluntarily wear face coverings to slow the spread of the novel coronavirus.']
157,['Fauci'],['CNN'],"['""I don\'t understand why that\'s not happening,"" Fauci said during a CNN town hall Thursday.']"
158,['Deborah Birx'],['White House'],"['""We\'re only as strong as every community, every county, every state, every American following the guidelines to a T,"" Dr. Deborah Birx, the White House coronavirus response coordinator said Thursday.']"
159,['Mike Ryan'],['WHO'],"['""We don\'t want to end up in a cycle of lockdown, followed by release, followed by another lockdown, followed by release,"" said Dr. Mike Ryan, executive director of the WHO\'s health emergencies program.']"
162,['Robert Wachter'],"['the Department of Medicine', 'University of California']","['""We could see it from our windows,"" said Dr. Robert Wachter, professor and chair of the Department of Medicine at University of California, San Francisco.']"
163,['Wachter'],"['Google', 'Apple', 'Salesforce']","['And companies like Google and Apple and Salesforce and others told their employees to work from home as early as March 5,"" Wachter said.']"
164,['George Rutherford'],['the University of California San Francisco'],"['""That was no accident,"" Dr. George Rutherford, professor of epidemiology at the University of California San Francisco, said of the timing of the order.']"
165,['Jahan Fahimi'],['the University of California'],"['""The surge we have been anticipating has not yet come,"" Dr. Jahan Fahimi, an emergency physician and medical director at the University of California, San Francisco, said this week.']"
166,['Robert David Siegel'],"['the Department of Microbiology and Immunology', 'Stanford University']","[""Dr. Robert David Siegel, a professor in the Department of Microbiology and Immunology at Stanford University, said California was also aided in stemming the virus' spread by strong and early public health awareness campaigns and a sprawling demography compared to places like New York City.""]"
167,['Joel Wells'],"['Covid-19', 'the Iowa Department of Public Health', 'the Wayne County Board of Health']","['There were no confirmed cases of Covid-19 in Wayne County as of Friday afternoon, according to the Iowa Department of Public Health ""The current state of regulations that apply to livestock auctions during the Coronavirus pandemic at this time are vague and almost worthless,"" said Dr. Joel Wells, chairman of the Wayne County Board of Health, in a statement released Monday.']"
168,['Gingerich'],['Iowa Gov'],"['Livestock auctions like the one Gingerich held were allowed ""because they are part of the food production supply chain,"" said Iowa Gov.']"
169,['Donald Trump'],"['CNN', 'General Motors']","[""Washington (CNN) More than a week after President Donald Trump said he would authorize the use of a wartime-era law to force General Motors to produce ventilators , the company still hasn't received a formal order from the federal government.""]"
170,['Jesse Greenberg'],"['Medline', 'FEMA']","['Jesse Greenberg, public affairs director at Medline, said the company is in regular communication with FEMA as part of ""Project Airbridge,"" the airlift of supplies.']"
171,['Trump'],"['the White House', 'Centers for Disease Control and Prevention']","['President Trump announced new guidance from the White House on Friday afternoon, saying the US Centers for Disease Control and Prevention were advising the use of ""non-medical cloth based"" face coverings.']"
177,['Donald Trump'],['CNN'],"['(CNN) President Donald Trump said Friday his administration was now recommending Americans wear ""non-medical cloth"" face coverings, a reversal of previous guidance that suggested masks were unnecessary for people who weren\'t sick.']"
178,['Trump'],['the White House'],"['Trump said the recommendations, which came after a week of heated deliberations inside the White House, were voluntary and that he would not partake.']"
182,['Warner'],['ASAP'],"['I know people are working hard on this, but we need to get it sorted out ASAP,"" Warner said.']"
183,['Adam Temple'],"['the National Federation of Independent Business', 'CNN']","['""So, let me just say this as nicely as I possibly can: please don\'t be a bunch of jerks, OK.""\n\nAdam Temple, vice president of public affairs at the National Federation of Independent Business, told CNN that for the entire day, his group had been inundated with stories about small business owners who were struggling to find a bank that would accept their loan application.']"
185,['Covid'],['Javits'],"['As a practical matter in New York, everybody\'s Covid,"" he said, adding that the ""best thing to do would be to move patients who are stable from the hospitals to Javits or to (the) Comfort.""']"
186,['Todd Semonite'],"['the Army Corps of Engineers', 'Corps']","['Later on Friday, Lt. Gen. Todd Semonite, commander of the Army Corps of Engineers, said to date, the Corps has received 750 requests for site assessments across the country to look into possible facilities that could be used in the coronavirus response.']"
187,['Marlin McManaus'],['Pinnacle Country Club'],"['""Once the golfers leave the tee we have no control on what the restrictions are,"" says Pinnacle Country Club General Manager, Marlin McManaus.']"
188,['Penny Blake'],['the Florida Emergency Nurses Association'],"['“It was just very disappointing for me to hear that,” said Penny Blake, the president of the Florida Emergency Nurses Association.']"
189,['Darlene Dempsey'],['the Florida Nurses Association'],"['“To have someone say something like that, the only appropriate thing to be saying to nurses right now is ‘thank you,\'"" said Darlene Dempsey, the Southeast Region Director for the Florida Nurses Association.']"
190,['Frankel'],['Facebook'],['Frankel says he has received emails from nurses and has since removed the podcast video from Facebook.']
191,['Donald Trump'],['The White House'],"['The White House could soon announce new recommendations on wearing some sort of masks in public, administration officials said, and President Donald Trump says if people are inclined to cover their mouths and noses with a scarf , they should.']"
192,['Mike Pence'],['CNN'],"['""It is not necessary for Americans to go out and buy masks,"" Vice President Mike Pence said during an appearance on CNN on March 1.']"
194,['Robert Redfield'],['CDC'],"['What has changed is new information suggesting higher levels of asymptomatic spread, which CDC Director Robert Redfield said this week had led to the new look into mask-wearing recommendations.']"
195,['Karyn Schwartz'],['the Kaiser Family Foundation'],"['""It leaves less money for other things than an actual coverage expansion,"" said Karyn Schwartz, senior fellow at the Kaiser Family Foundation.']"
196,['Kathy Arberg'],['Court'],"['""The Court will consider rescheduling some cases from the March and April sessions before the end of the Term, if circumstances permit in light of public health and safety guidance at that time,"" Kathy Arberg, a court spokeswoman, said in a statement.']"
197,['Judd Deere'],"['White House Operations', 'Covid-19', 'White House']","['""As the physician to the President and White House Operations continue to protect the health and safety of the President and vice president, starting today anyone who is expected to be in close proximity to either of them will be administered a Covid-19 test to evaluate for pre-symptomatic or asymptomatic carriers status to limit inadvertent transmission,"" said deputy White House press secretary Judd Deere in a statement.']"
198,['Micah Choquette'],"[""the Sapulpa School's Administration"", 'SPS', 'the Sapulpa Times']","['""The story was not endorsed by, approved by, or even known about by any of the Sapulpa School\'s Administration when it went live on Wednesday morning, but SPS are the ones now having to deal with frantic parents and angry teachers,"" Micah Choquette, the owner and editor of the Sapulpa Times, said in the letter.']"
199,['Birx'],['the White House'],"['Still, there is concern among some skeptics in the White House that these models Birx put so much stock in could be wrong, just as others have been since so much is unknown, the source said.']"
