idx.1,idx,idx.1,quote,people,educ_inst
200,144,200,"'And before there was “America’s Funniest Home Videos,” Mr. Shimura introduced the concept of broadcasting footage contributed by viewers on the variety show “Kato-Chan Ken-Chan Gokigen TV,” which aired for six years on Saturday nights on TBS, one of Japan’s main television networks.\n\n\n'",['Shimura'],University of Waikato
265,188,265,"'R. Glenn Hubbard, a Columbia University economist and former adviser to President George W. Bush, said in an interview that the necessary assistance is likely “closer to $1 trillion,” which would require another $650 billion appropriation from Congress.\n'","['R. Glenn Hubbard', 'George W. Bush']",Columbia University
269,195,269,"'You want to use carrots instead of sticks,” said James Colgrove, a public health professor at Columbia University.'",['James Colgrove'],Columbia University
284,206,284,"'It’s a combination of sloppy engineering and prioritizing growth,” said Jonathan Mayer, an assistant professor of computer science and public affairs at Princeton University.'",['Jonathan Mayer'],Princeton University
286,209,286,"'The mantra is, ‘Keep calm and carry on,’” said Dr. Marguerite Neill, an infectious disease expert at Brown University.\n'",['Marguerite Neill'],Brown University
323,220,323,"'She may not have any kind of legal problems, but it does indicate she comes from a very different world than 99.99 percent of Georgians,” said Charles S. Bullock III, a political-science professor at the University of Georgia.'",['Charles S. Bullock III'],University of Georgia
330,224,330,"'You can’t do it enough,” said H. Cody Meissner, M.D., chief of the division of pediatric infectious disease at Tufts University School of Medicine and a member of the American Academy of Pediatrics’ Committee on Infectious Diseases.'",['H. Cody Meissner'],Tufts University
333,228,333,"'There are a surprisingly large number of people who are unbanked in the U.S.,” said Michael Graetz, a Columbia University law professor and former deputy assistant secretary for tax policy at the Treasury Department.'",['Michael Graetz'],Columbia University
352,237,352,"'“are running in short supply of N95 masks,” said Richard E. Peltier, an associate professor of environmental health sciences at the University of Massachusetts Amherst.'",['Richard E. Peltier'],University of Massachusetts
363,246,363,"'If you have an advance directive that says, ‘I want everything done for me,’ in a pandemic that will not count,” said Arthur L. Caplan, a professor of bioethics at the New York University School of Medicine.'",['Arthur L. Caplan'],New York University
373,258,373,"'Usually, the standard is to intubate and do CPR and do all those things,” said Dr. Angela Mills, the chief of emergency medicine services at NewYork-Presbyterian/Columbia University Medical Center.'",['Angela Mills'],Columbia University
387,267,387,"'Our kids are brilliant emotional detectives of their parents,” said Abi Gewirtz, Ph.D., a clinical psychologist and professor at the University of Minnesota, and the author of the forthcoming book, “'","['Ph.D.', 'Abi Gewirtz']",University of Minnesota
395,268,395,"'The U.S. has been a leader in so many other areas, but when it comes to the health care system, it is behind,” said Adam Kamradt-Scott, a global health security expert at the Center for International Security Studies at the University of Sydney.\n'",['Adam Kamradt-Scott'],University of Sydney
398,269,398,"'If you feel you don’t want to venture out because you need to self-quarantine, then I can understand a laundry service,” said Nellie Brown, the director of workplace health and safety programs at Cornell University.'",['Nellie Brown'],Cornell University
399,270,399,"'Paul Conway, a professor of psychology at Florida State University, argued that “evidence from history and the psychological literature suggests that under times of stress and uncertainty, there are a number of different effects.'",['Paul Conway'],University of Florida
399,271,399,"'Along similarly pessimistic lines, Marc Hetherington, a political scientist at Vanderbilt, told me by email that there were two reasons that “this moment holds the potential to resuscitate negative feelings that Americans have about government.”\n'",['Marc Hetherington'],Vanderbilt University
438,288,438,"'I think this is a rare situation where we’re going to have to walk into the store and say, Do I need this more than the next person who might be coming down this aisle?” said Nathan Novemsky, professor of marketing and psychology at Yale University.\n\n\n'",['Nathan Novemsky'],Yale University
438,289,438,"'That is probably about half of us, especially during this time when many of us are not working or can’t work, with limited incomes or no incomes coming in,” said Lorrene Ritchie, director of the Nutrition Policy Institute at the University of California.'",['Lorrene Ritchie'],"University of California, Berkeley"
439,290,439,"'It’s still hard to tell what percentage of people are truly asymptomatic because many go on to develop symptoms a few days later,” said Dr. Neil Fishman, the chief medical officer of the Hospital of the University of Pennsylvania.'",['Neil Fishman'],University of Pennsylvania
453,301,453,"'There are people who haven’t even heard Trump that much, while the rest of us have been obsessed,” said Matt Grossmann, director of the Institute for Public Policy and Social Research at Michigan State University.'",['Matt Grossmann'],Michigan State University
462,309,462,"'The weight of the evidence shows additional resources help kids,” said Greg Duncan, an economist at the University of California-Irvine who led the study group.\n'",['Greg Duncan'],"University of California, Irvine"
473,319,473,"'Although the first priority should be on definitely trying to control the virus,” said Karen Eggleston, director of the Asia health policy program at the Shorenstein Asia-Pacific Research Center at Stanford University,'",['Karen Eggleston'],Stanford University
537,369,537,"'I’m very impressed by this,” said Dr. William Schaffner, a preventive medicine expert at Vanderbilt University.'",['William Schaffner'],Vanderbilt University
573,381,573,"'Diaries and correspondences are a gold standard,” said Jane Kamensky, a professor of American History at Harvard University and the faculty director of the Schlesinger Library at the Radcliffe Institute.'",['Jane Kamensky'],Harvard University
573,382,573,"'People think the internet is going to be permanent, but we’re already starting to lose things that were committed to bits and bytes,” said Shane Landrum, who holds a doctorate in American history from Brandeis University.'",['Shane Landrum'],Brandeis University
577,383,577,"'We have to have social interventions to incentivize and support isolation, or we are doomed,” said Arthur Caplan, professor of bioethics at New York University Langone Medical Center.\n'",['Arthur Caplan'],New York University
601,394,601,"'Alexander Colvin, dean of the Cornell University School of Industrial and Labor Relations, told me that the eruption of strikes “is a function of the American system where we get so much variation from employer to employer”\n'",['Alexander Colvin'],Cornell University
632,403,632,"'And still others said the current situation contained strong echoes of the period after Sept. 11, 2001, when “anyone who was brown was equated with being a terrorist,” said Karthick Ramakrishnan, a professor of political science at the University of California, Riverside.\n\n\n'",['Karthick Ramakrishnan'],"University of California, Berkeley"
663,416,663,"'The bulletin “represents an important first step in protecting the rights of people with disabilities in the current crisis,” said Ari Ne’eman, a visiting scholar at the Lurie Institute for Disability Policy at Brandeis University and a senior research associate at the Harvard Law School Project on Disability.'",['Ari Ne’eman'],Brandeis University
668,418,668,"'I don’t think anything like this has happened since then, so 50 years ago, half a century,” said Rick Danheiser, a chemistry professor and the chair of the faculty at the Massachusetts Institute of Technology, which was one of the first schools to adapt its grading system to the pandemic.\n\n\n'",['Rick Danheiser'],Massachusetts Institute of Technology
668,419,668,"'It would be amazing if I could just focus on my classes,” said Mr. Polanco, a junior at Dartmouth College, “'",['Polanco'],Dartmouth College
672,422,672,"'I’m days away from my due date, and I’m trying to mentally prepare for both scenarios,” said Kate Dinota, 32, who lives in Queens and plans to give birth at Weill Cornell Medical Center, part of the NewYork-Presbyterian system.\n\n\n'",['Kate Dinota'],The University of Queensland
681,425,681,"'There seems to be a concerted effort on the part of Trump supporters to spread misinformation about the virus aggressively,” said Carl Bergstrom, a professor of biology at the University of Washington who has studied misinformation.\n\n\n'",['Carl Bergstrom'],University of Washington
681,426,681,"'When you’re dealing with the White House, sometimes you have to say things one, two, three, four times, and then it happens,” Dr. Fauci said in an interview with Science magazine this past week.'",['Fauci'],London School of Economics and Political Science
683,428,683,"'If everyone in the community wears a mask, it could decrease transmission,” Dr. Neil Fishman, the chief medical officer of the Hospital of the University of Pennsylvania, said.'",['Neil Fishman'],University of Pennsylvania
712,443,712,"'Benjamin Cowling, a professor of epidemiology at the University of Hong Kong, said transmission more likely “occurred with prolonged close contact in a room with poor ventilation” than as a result of any particular method of cooking.\n'",['Benjamin Cowling'],University of Hong Kong
735,458,735,"'Mr. Meyer of the University of Missouri said about 40 percent of corn production goes into the ethanol industry, where “you are starting to hear of people shutting down.”\n'",['Meyer'],University of Missouri
744,464,744,"'Developing countries are being hit directly and indirectly by the Covid-19 crisis and are going to need massive aid,” Kenneth S. Rogoff, a professor of economics and public policy at Harvard University, said in an interview.'",['Kenneth S. Rogoff'],Harvard University
796,478,796,"'Increased pollution increases susceptibility to infection,” said Dr. Meredith McCormack, a spokeswoman for the American Lung Association and associate professor of pulmonary and critical care at Johns Hopkins University.'",['Meredith McCormack'],Johns Hopkins University
810,484,810,"'A disinfectant on a surface will render it harmless, according to Gary Whittaker, a professor of virology at the Cornell University College of Veterinary Medicine.\n'",['Gary Whittaker'],Cornell University
813,486,813,"'There is no way to monitor the individual patients without some invasive monitoring or additional monitors for each patient,” said Dr. Richard Branson, a co-author of the 2012 study, a pulmonologist at the University of Cincinnati College of Medicine and editor in chief of the journal Respiratory Care.\n\n\n'","[""Respiratory Care.\\n\\n\\n'"", 'Richard Branson']",University of Cincinnati
813,487,813,"'While this is a technique that potentially could work for maybe a few hours, there are some significant hurdles,” said Dr. MeiLan Han, a pulmonologist at the University of Michigan Health System and a spokeswoman for the American Lung Association.\n'",['MeiLan Han'],University of Michigan
828,499,828,"'That is definitely on everyone’s minds,” said Tarek Ziad, a senior at Yale studying ecology and evolutionary biology.'",['Tarek Ziad'],Yale University
857,514,857,"'It’s a start, but inadequate to the crisis,” Michael Waldman, the president of the Brennan Center for Justice at New York University, said of the proposal.'",['Michael Waldman'],New York University
864,515,864,"'All these effects of economic expansions or recessions on mortality that can be seen, e.g., during the Great Depression or the Great Recession, are tiny if compared with the mortality effects of a pandemic,” said Dr. José A. Tapia, a professor of public health and economics at Drexel University who has written several studies on the topic.\n'",['José A. Tapia'],Drexel University
879,523,879,"'He has no power to go directly into a state and to tell a business operating in that state that it has to open or change its operations in any way,” said Lawrence O. Gostin, a professor at Georgetown University Law School who specializes in public health law.'",['Lawrence O. Gostin'],Georgetown University
892,530,892,"'As much as it will pain many of his rivals to admit it, he does appear to be the complete package,” said Tim Bale, a professor of politics at Queen Mary University in London.'",['Tim Bale'],Queen Mary University of London
914,538,914,"'This would be a very dramatic test for Israeli democracy and the rule of law,” said Gideon Rahat, a professor of political science at the Hebrew University of Jerusalem.'",['Gideon Rahat'],Hebrew University of Jerusalem
925,541,925,"'What we’re seeing is an interesting broadening of what GoFundMe is normally used for,” said Nora Kenworthy, an associate professor at the University of Washington Bothell School of Nursing and Health Studies.\n'",['Nora Kenworthy'],University of Washington
933,543,933,"'Supervision is the number one way to prevent accidental injury,” said Dr. Alison Tothy, M.D., a pediatric emergency physician at the University of Chicago Medicine.'",['Alison Tothy'],University of Chicago
937,547,937,"'Fortunately, there was no evidence of vertical transmission from mother to child,” said Dr. Wei Zhang, an epidemiologist at Northwestern University and one of the Lancet study’s authors.\n'",['Wei Zhang'],Northwestern University
937,548,937,"'We do know that we’re going to have lots of pregnant women with coronavirus, just given the number of cases,” said Dr. Denise Jamieson, chair of gynecology and obstetrics at Emory University.'",['Denise Jamieson'],Emory University
944,554,944,"'It’s either they did something right,” said Dr. Peter Rabinowitz, co-director of the University of Washington MetaCenter for Pandemic Preparedness and Global Health Security,'",['Peter Rabinowitz'],University of Washington
967,560,967,"'A crisis like the coronavirus epidemic highlights the stake that everyone has in the care of the sick,” said Paul Starr, a professor of sociology and public affairs at Princeton who served as a health policy adviser in the Clinton White House.'","['Clinton', 'Paul Starr']",Princeton University
982,568,982,"'For example, at 58A — this is where I figured out the theme — the answer to the clue “Mercury or Saturn, e.g.” is AUTO MAKE, because the Mercury was made by Ford and the Saturn was made by General Motors.\n\n\n'",['Motors.\\n\\n\\n'],University of Oxford
984,570,984,"'The response looks to be proportionate to the extent of the problem,” said Justin Wolfers, a University of Michigan economist who has pushed for a large fiscal response to sustain the economy through the virus shutdown.'",['Justin Wolfers'],University of Michigan
986,577,986,"'Dr. Andrew A. Lover, an assistant professor of epidemiology at the University of Massachusetts-Amherst, called the article “exceedingly ill-advised, and not evidence-based in any way shape or form.'",['Andrew A. Lover'],University of Massachusetts
994,578,994,"'If this really goes on for months at a time, for 18 months as some people have projected, having health care workers who are immune to the virus will be really, really helpful,” said Angela Rasmussen, a virologist at Columbia University in New York.\n'",['Angela Rasmussen'],Columbia University
997,582,997,"'Isolation can increase the desire to stay electronically connected even more,” said Lisa Medalie, a behavioral sleep medicine specialist at the University of Chicago, who adds that it’s vital to keep disciplined, which helps minimize distractions and regain control.\n'",['Lisa Medalie'],University of Chicago
997,583,997,"'It may be tempting to stay up late binge-watching your favorite shows because you don’t have to go to work in the morning, but it is more important than ever to prioritize your sleep,” said Kristen L. Knutson, an associate professor at Northwestern University’s Center for Sleep and Circadian Medicine.\n'",['Kristen L. Knutson'],Northwestern University
1033,610,1033,"'“Unemployment is more than just a period when you have lower earnings,” said Katharine Abraham, a University of Maryland economist who has researched long-term unemployment.\n'",['Katharine Abraham'],"University of Maryland, College Park"
1076,634,1076,"'The big unknown is whether his luck will hold out with regard to Covid-19,” said Gerald L. Curtis, a professor emeritus of political science at Columbia University.\n'",['Gerald L. Curtis'],Columbia University
1076,635,1076,"'The delayed Games “could be a political burden because the government must make additional expenditures for the preparation of the Olympic Games during an economic crisis,” said Jiro Yamaguchi, a professor of political science at Hosei University in Tokyo.\n\n\n'","['Jiro Yamaguchi', 'Tokyo.\\n\\n\\n']",Yonsei University
1084,642,1084,"'There will be much more robust business continuity and contingency planning in response to pandemics like this,” said Kristen Jaconi, a risk management expert at the University of Southern California.'",['Kristen Jaconi'],University of Southern California
1091,646,1091,"'All my Stanford friends and I are self-quarantining in our own rooms away from our families after getting booted off campus,” said Netta Wang, 22, a Stanford University senior who returned to her parents’ house in San Mateo,'",['Netta Wang'],Stanford University
1095,651,1095,"'We don’t have any data about how long the virus remains infectious on water fountains,” says Angela Rasmussen, a virologist with the Center for Infection and Immunity at Columbia University.'",['Angela Rasmussen'],Columbia University
1113,660,1113,"'But if people are told they can head back to work, commuting by bus or subway while thousands of new infections are confirmed each day, “the virus will surge, many will fall ill and there will be more deaths,” said Dr. William Schaffner, a preventive medicine expert at the Vanderbilt University School of Medicine.\n'",['William Schaffner'],Vanderbilt University
1181,686,1181,"'This does feel like something that’s going to set all of that back a little bit,” said Sara Jensen Carr, a professor of architecture, urbanism and landscape at Northeastern University.'",['Sara Jensen Carr'],Northeastern University
1193,691,1193,"'Density is really an enemy in a situation like this,” said Dr. Steven Goodman, an epidemiologist at Stanford University.'",['Steven Goodman'],Stanford University
1194,694,1194,"'At this point in the outbreak, women should not change their delivery plans based on Covid-19,” Dr. Denise J. Jamieson, M.D., M.P.H., chairwoman of gynecology and obstetrics at the Emory University School of Medicine, said on March 18.'","['M.P.H.', 'Denise J. Jamieson']",Emory University
1224,713,1224,"'One of the things we are trying to figure out is, how accurate is this nasal test going to be?” said Dr. Yvonne Maldonado, a professor of pediatrics, health research and policy at Stanford University School of Medicine who specializes in infectious diseases.'",['Yvonne Maldonado'],Stanford University
1227,719,1227,"'Out here, we’re spread out,” said Dr. Lee Riley, professor of infectious diseases at the University of California Berkeley School of Public Health.'",['Lee Riley'],"University of California, Berkeley"
1239,732,1239,"'I keep saying, is there any way we can get a virtual news conference,” Dr. Anthony Fauci, one of the briefing regulars, said in an interview with Science magazine.'",['Anthony Fauci'],London School of Economics and Political Science
1288,751,1288,"'The most important reason is actually to help preserve PPE,” she said, referring to masks and other protective equipment, “and to let the important front-line providers have access to that.”\nOther factors, Dr. Zimmer said, included the fact that elective procedures have been scaled way back at the hospitals where University of Colorado students do their rotations, and that the students are needed at call centers and to check in with primary care patients.'",['Zimmer'],University of Colorado Boulder
1288,752,1288,"'The most important reason is actually to help preserve PPE,” she said, referring to masks and other protective equipment, “and to let the important front-line providers have access to that.”\nOther factors, Dr. Zimmer said, included the fact that elective procedures have been scaled way back at the hospitals where University of Colorado students do their rotations, and that the students are needed at call centers and to check in with primary care patients.'",['Zimmer'],University of Colorado Boulder
1292,755,1292,"'Family members should monitor their loved ones “to make sure that if they do come down with the virus, that they’re being cared for, that they’re being hydrated,” said Dr. David Dosa, a geriatrician and professor of medicine at Brown University, where he studies disaster preparedness.'",['David Dosa'],Brown University
1303,769,1303,"'Everything was set up for a large-scale social survey,” said Ms. Thapa’s adviser, Tobias Plieninger, a professor at Kassel and Göttingen.'","['Thapa’s', 'Tobias Plieninger']",University of Göttingen
1304,770,1304,"'I live from paycheck to paycheck,” said Sebastian Lassen, 25, a coffee shop manager in Copenhagen.'",['Sebastian Lassen'],University of Copenhagen
1348,788,1348,"'Louise Aronson is a professor of medicine at the University of California, San Francisco, and the author of “Elderhood: Redefining Aging, Transforming Medicine, Reimagining Life.”\n'",['Louise Aronson'],"University of California, Berkeley"
1352,790,1352,"'We just got an email, a plain old email that said where we were matching,” said Alex Kokaly, a medical student at the University of Michigan who matched at U.C.L.A. for internal medicine.\n'",['Alex Kokaly'],University of Michigan
1370,797,1370,"'And the next day, he was joined at a White House briefing by Secretary of State Mike Pompeo, who accused China’s government of distorting vital health data and said its response “creates risk to people all around the world.'",['Mike Pompeo'],Pennsylvania State University
1378,803,1378,"'What a recession from something like this should look like is a sudden stop and recovery,” said R. Glenn Hubbard, a Columbia University economist who was a top White House economist for President George W. Bush.'","['R. Glenn Hubbard', 'George W. Bush']",Columbia University
1402,816,1402,"'For me, it was really disheartening to see the embassy, the State Department, wasn’t able to help us,” said Ms. Stirrat, 20, a junior at Lewis  Clark who eventually got on the Boston University-chartered evacuation flight from Ecuador.'","['Stirrat', 'Lewis  Clark']",Boston University
1418,825,1418,"'She’s held multiple senior roles across the center, and is an excellent choice,” said Javed Ali, a former counterterrorism center official who is now a visiting professor at the University of Michigan.'",['Javed Ali'],University of Michigan
1429,829,1429,"'Traveling longer distances by car is not advisable right now, unless it is of a more urgent nature,” said Rachel Patzer, an epidemiologist and director of health services research at Emory University School of Medicine.'",['Rachel Patzer'],Emory University
1442,845,1442,"'The fathers in Asia can become lonely and marriages are imperiled, wives face the stresses of managing a household alone, and the children can become spoiled when money and cars are substituted for the lack of parental presence,” said Prof. David Ley, an emeritus professor of geography at the University of British Columbia and author of a book on the subject, “Millionaire Migrants.'",['David Ley'],University of British Columbia
1448,849,1448,"'In Australia and New Zealand, the approach has been to treat international students as cash cows, and as a result the shortcomings in their systems are really coming to the surface,” said Salvatore Babones, an associate professor at the University of Sydney and an adjunct scholar at the Center for Independent Studies.'",['Salvatore Babones'],University of Sydney
1448,850,1448,"'In quite a short period of time, we have become sort of addicted to one source of income,” said Kerry Brown, a professor of Chinese studies at King’s College London.'",['Kerry Brown'],King’s College London
1448,851,1448,"'I think this is going to exacerbate the sense that has been growing for years that the U.K., and to a lesser extent the U.S., are not great destinations for international students, especially Chinese students,” said Craig Calhoun, a professor of social sciences at Arizona State University and a former director of the London School of Economics and Political Science.'",['Craig Calhoun'],Arizona State University
1475,878,1475,"'I think it’s reasonable to expect that you have to factor Covid into emergency response preparation for this summer,” said Dr. David Lee Thomas, a professor of medicine in the division of infectious diseases at Johns Hopkins University.\n'",['David Lee Thomas'],Johns Hopkins University
1482,881,1482,"'People get interested around the time of a SARS epidemic or an H1N1 flu epidemic, and then they forget,” said Dr. Lynne Goldman, dean of George Washington University’s Milken Institute School of Public Health.\n'",['Lynne Goldman'],George Washington University
1484,883,1484,"'I’m worried because if we get it, everybody is going to get it,” said Aretha Morgan, a pediatric emergency room nurse at Columbia University Medical Center in Manhattan.'",['Aretha Morgan'],Columbia University
1497,898,1497,"'The shale players were already stretched to their limits, and the virus has just broken every thread they were holding on by,” said Ed Hirs, an energy economics lecturer at the University of Houston.\n'",['Ed Hirs'],University of Houston
1501,900,1501,"'We have to work all together, we cannot even afford losing a single minute with political fighting,” said Antoni Trilla, the dean of the University of Barcelona’s faculty of medicine, arguing that central authorities needed to lead the response.'",['Antoni Trilla'],University of Barcelona
1526,914,1526,"'George Perez, 38, the manager at the two-year-old Food Universe Marketplace on Steinway Street in the New York City borough of Queens, has been in supermarkets “all my life, really, ever since I was a kid stocking shelves with my dad.'",['George Perez'],The University of Queensland
1547,922,1547,"'They tend to be the first hit when things go wrong and then also to take the longest time to recover,” said H. Luke Shaefer, a professor of social work and public policy at the University of Michigan and the faculty director of its Poverty Solutions initiative.\n'",['H. Luke Shaefer'],University of Michigan
1568,934,1568,"'Every single reduction in the number of contacts you have per day with relatives, with friends, co-workers, in school will have a significant impact on the ability of the virus to spread in the population,” said Dr. Gerardo Chowell, chair of population health sciences at Georgia State University.\n'",['Gerardo Chowell'],University of Georgia
1585,946,1585,"'Peter Feaver, a political-science professor at Duke and a former National Security Council staff member under George W. Bush, thought that Republicans had already flirted too much with an anti-analytical and anti-professional stance in their romance with Sarah Palin and that, “Donald Trump personified the problems of 2012 — outrageous statements, not well-briefed, a stance of anti-expertise, as if knowing something about the policy, having experience, was a bad thing … Donald Trump was personifying that, doubling down on it, tripling down on it.'","['Sarah Palin', 'George W. Bush', 'Peter Feaver']",Duke University
1620,964,1620,"'China has been willing to go to pretty extraordinary lengths, using the army, using the police, locking people in their homes, using drone technology to monitor behavior, setting up roadblocks,” said Dr. Arthur L. Reingold, head of the epidemiology division at the public health school of the University of California, Berkeley.\n\n\n'",['Arthur L. Reingold'],"University of California, Berkeley"
1655,992,1655,"'That probably caused more transmissions than it prevented,” said Ira M. Longini, co-director of the Center for Statistics and Quantitative Infectious Diseases at the University of Florida.\n'",['Ira M. Longini'],University of Florida
1676,1004,1676,"'The United States will continue to work for Michael’s full release as well as the release of all wrongfully detained Americans in Iran,” Secretary of State Mike Pompeo said in a statement.'",['Mike Pompeo'],Pennsylvania State University
1683,1007,1683,"'It won’t stop it from getting into the lungs,” said Dr. Paul Offit, an infectious disease expert at the University of Pennsylvania and the Children’s Hospital of Philadelphia.'",['Paul Offit'],University of Pennsylvania
1685,1009,1685,"'But according to Dr. Eli Perencevich, M.D., an infectious disease physician and epidemiologist at the University of Iowa Carver College of Medicine, the more that people can distance themselves and their children from others, the more it will likely help to slow transmission of the virus.'",['Eli Perencevich'],University of Iowa
1700,1013,1700,"'What you’re going to end up doing is amplifying within an echo chamber, which is really different from what the movement wants,” said Dana Fisher, a professor of sociology at the University of Maryland whose research focuses on activism.'",['Dana Fisher'],"University of Maryland, College Park"
1705,1015,1705,"'I think everyone should be paying attention to this,” said Stephen S. Morse, a professor of epidemiology at Columbia University.'",['Stephen S. Morse'],Columbia University
1734,1030,1734,"'There is evidence that even about five minutes a day of mini-workouts could be sufficient” to help us maintain a baseline of fitness, says Martin Gibala, a professor of kinesiology at McMaster University in Hamilton, Ontario.'",['Martin Gibala'],McMaster University
1745,1034,1745,"'Many people are now panicking, and some actually are exaggerating the risks,” said Dr. Jin Dong-Yan, a virology expert at the University of Hong Kong.\n'",['Jin Dong-Yan'],University of Hong Kong
1753,1035,1753,"'You feel a bit like a pawn,” said Ryan Boyko, 36, then a Yale graduate student who was quarantined, and now is the founder of a Boston company called Embark Veterinary that analyzes dog DNA.\n\n\n'",['Ryan Boyko'],Yale University
1756,1038,1756,"'We would all like it to be a different outcome,” said Nancy Snow, a professor of public diplomacy at Kyoto University of Foreign Studies.'",['Nancy Snow'],Kyoto University
1757,1042,1757,"'In fact, research into decision-making under threat suggests that concerns about looming mass panic are badly misplaced, according to Ido Erev, a professor of behavioral science and management at Technion-Israel Institute of Technology, in Haifa, Isreal.'","['Ido Erev', 'Isreal']",Technion Israel Institute of Technology
1758,1043,1758,"'You’re supposed to be watching basketball now,” Muffet McGraw, the women’s basketball coach at Notre Dame, said the other day.'",['Muffet McGraw'],University of Notre Dame
1759,1045,1759,"'Right now I’m recommending to my family and to people who are asking that outdoor activities that are solitary or done in parallel with someone who is far away is fine,” said Carolyn C. Cannuscio, associate professor of family medicine and community health at the University of Pennsylvania Perelman School of Medicine.'",['Carolyn C. Cannuscio'],University of Pennsylvania
1761,1047,1761,"'In disasters we talk about social networks being a primary form of resilience,” said Nicole Errett, a disaster researcher at the University of Washington and co-director of its Collaborative on Extreme Event Resilience.'",['Nicole Errett'],University of Washington
1796,1063,1796,"'If I’m out in the community and I’ve got somebody who’s dying of course I would do whatever I could to try and help them,” said Dr. Tim Schacker, the vice dean for research and an infectious disease specialist at the University of Minnesota medical school.\n'",['Tim Schacker'],University of Minnesota
1796,1064,1796,"'That’s the creative juice we need right now, as we try and take care of these patients literally on the run,” Dr. Schacker, from the University of Minnesota, said.'",['Schacker'],University of Minnesota
1813,1070,1813,"'This is very, very exciting,” said Dr. William Schaffner, a professor of preventive medicine at Vanderbilt University.'",['William Schaffner'],Vanderbilt University
1847,1095,1847,"'One of those overseeing the strange procession was Senator Michael Gianaris, a Democrat from Queens who serves as deputy majority leader, who said the Senate was trying to keep the “critical mass of actual humans” in the chamber as low as possible.\n'",['Michael Gianaris'],The University of Queensland
1855,1100,1855,"'More than a century ago, Dr. William Osler, a founder of Johns Hopkins who revolutionized American medical education and training, said, “Medicine is a science of uncertainty and an art of probability.'",['William Osler'],Johns Hopkins University
1875,1114,1875,"'We can’t escort an inmate with a six-foot rule,” said Yamira Richardson, a correctional officer who is currently working in the SHU.'",['Yamira Richardson'],Kyushu University
