,idx,quote,people,orgs,source,gender
59,87,"'On Monday, Representative Jerrold Nadler, Democrat of New York and the chairman of the House Judiciary Committee, urged Mr. Barr to “institute aggressive measures to release medically compromised, elderly and pregnant prisoners” in order to stem the health crisis in the federal prison system.\n'","['Barr', 'Jerrold Nadler']",['the House Judiciary Committee'],The New York Times,0
60,87,"'“supervise those formerly incarcerated individuals and ensure they no longer pose a threat to the American people,” Larry Cosme, the national president of the Federal Law Enforcement Officers Association, said in a statement on Monday.\n'",['Larry Cosme'],['the Federal Law Enforcement Officers Association'],The New York Times,0
61,88,"'Representative Adam Schiff, Democrat of California and chairman of the House Intelligence Committee who was the lead impeachment manager, called the “dead of night” firing in the midst of a national emergency “yet another blatant attempt by the president to gut the independence of the intelligence community and retaliate against those who dare to expose presidential wrongdoing.'",['Adam Schiff'],['the House Intelligence Committee'],The New York Times,0
62,91,"'Mr. Gilbert has visited the White House, where Mr. Trump singled him out as “a great friend of mine, a supporter and great guy.'","['Trump', 'Gilbert']",['the White House'],The New York Times,0
63,91,"'We are stepping up to help solve problems under an existing contract,” said Aaron Emerson, a spokesman for Rocket Loans, adding “'",['Aaron Emerson'],['Rocket Loans'],The New York Times,0
64,91,"'The S.B.A. contract with RER Solutions, which is for “data analysis and loan recommendation services for Covid-19,” appears to be related to a $10-million-per-year contract that RER signed with the S.B.A. in late 2018 for similar services related to processing disaster loan applications.'",['S.B.A.'],['RER Solutions'],The New York Times,0
65,91,"'Frank Taylor, whose company, The First Choice, bid against RER Solutions for the S.B.A. contract in 2018 and unsuccessfully challenged the decision to award it to RER, said that the systems created by RER and Rocket Loans “were not set up to take the volume of S.B.A. loans” likely to flood the system from businesses and people affected by coronavirus.\n'","['Rocket Loans', 'Frank Taylor']","['RER', 'The First Choice', 'RER Solutions for the S.B.A.']",The New York Times,0
66,93,"'If I’m blunt about it, it’s a joke,” said Michael Dowling, the head of Northwell Health, New York’s largest hospital system.\n'",['Michael Dowling'],['Northwell Health'],The New York Times,0
67,93,"'The thing that struck me is that in every major city, the wealthy got a head start sheltering, in some cities up to a week before,” said Gabriel Dance, deputy investigations editor at The Times, who performed the analysis along with his colleagues Jennifer Valentino-DeVries and Denise Lu.\n\n\n'","['Jennifer Valentino-DeVries', ""Denise Lu.\\n\\n\\n'"", 'Gabriel Dance']",['Times'],The New York Times,0
68,93,"'People want to talk about this virus as an equal-opportunity pathogen, but it’s really not,” said Dr. Ashwin Vasan, a doctor and public health professor at Columbia University.'",['Ashwin Vasan'],['Columbia University'],The New York Times,0
69,94,'One top C.D.C. official who has seen emails from people in the West Wing said that some of Mr. Trump’s advisers were pressing him to recommend mask wearing only in “areas of widespread transmission.',['Trump'],['C.D.C.'],The New York Times,0
70,94,"'Michael Brendan Dougherty, a conservative writer at National Review, wrote that Americans would “quickly feel that masks are ridiculous, menacing, or an imposition on life, then conclude they must be temporary.'",['Michael Brendan Dougherty'],['National Review'],The New York Times,0
71,94,"'At the World Health Organization briefing on Friday, Dr. Michael J. Ryan, the executive director of the health emergency program, said that while the W.H.O. still recommended masks only for front-line health workers and those who are sick or caring for the sick, “we can certainly see circumstances in which the use of masks, both homemade or cloth masks, at community level may help in an overall comprehensive response to this disease.'",['Michael J. Ryan'],['the World Health Organization'],The New York Times,0
72,96,"'Joelle Herr, owner of The Bookshop in East Nashville, which closed more than two weeks ago, wrote on Facebook about her “fury, despair and helplessness” at watching other businesses carry on as if nothing had changed.'","['Joelle Herr', 'Facebook']",['Bookshop'],The New York Times,0
73,97,"'The characteristics align with obsessive compulsive tendencies, which get triggered when people feel threatened,” said Nick Haslam, a professor of psychology at the University of Melbourne in Australia and the author of “Psychology in the Bathroom.'",['Nick Haslam'],['the University of Melbourne'],The New York Times,0
74,97,"'The characteristics align with obsessive compulsive tendencies, which get triggered when people feel threatened,” said Nick Haslam, a professor of psychology at the University of Melbourne in Australia and the author of “Psychology in the Bathroom.'",['Nick Haslam'],['the University of Melbourne'],The New York Times,0
75,98,"'In case anyone in San Antonio needed a wake-up call about the seriousness of Covid-19 to our community, this is it,” Mayor Ron Nirenberg said on Friday.\n'",['Ron Nirenberg'],['Friday.\\n'],The New York Times,0
76,100,"'Nobody is saying this is a panacea,” said Dr. Nigel Curtis, head of infectious diseases at Royal Children’s Hospital in Melbourne, who planned the trial.'",['Nigel Curtis'],['Royal Children’s Hospital'],The New York Times,0
77,100,"'Dr. Domenico Accili, an endocrinologist at Columbia University, said he thought efforts to use the vaccine against the coronavirus sound “a bit like magical thinking.'",['Domenico Accili'],['Columbia University'],The New York Times,0
78,101,"'If we run out of money, we’re going to go back to Congress and get more money for small business,” Mr. Mnuchin said on the Fox Business Network on Friday.\n'",['Mnuchin'],['the Fox Business Network'],The New York Times,0
79,101,"'“Small-business lending already has a discrimination problem,” said Amanda Fischer, the policy director at the Washington Center for Equitable Growth.\n'",['Amanda Fischer'],"['the Washington Center', ""Equitable Growth.\\n'""]",The New York Times,0
81,107,"'The department is grateful for the outpouring of support from the public and businesses throughout this pandemic,” said Frank Dwyer, a spokesman for the Fire Department.\n'",['Frank Dwyer'],"[""the Fire Department.\\n'""]",The New York Times,0
82,107,"'We had the meat, and we wanted to give it to somebody,” said Dean J. Poll, the restaurant’s owner.'",['Dean J. Poll'],['’s'],The New York Times,0
83,108,"'It’s a failure, a fundamental failure, to understand how people get care,” said Dr. Georges C. Benjamin, the executive director of the American Public Health Association in Washington.'",['Georges C. Benjamin'],['the American Public Health Association'],The New York Times,0
84,108,"'Addressing uncompensated care is important, but that alone will not solve the problems Covid-19 creates for our hospitals,” said Erin O’Malley, senior director of policy for America’s Essential Hospitals, the trade group representing the hospitals that treat the large numbers of people without insurance or who qualify for Medicaid.\n'",['Erin O’Malley'],['America’s Essential Hospitals'],The New York Times,0
85,108,"'Uninsured patients need coverage for Covid,” said Chip Kahn, the chief executive of the Federation of American Hospitals, a trade group representing for-profit hospitals.'",['Chip Kahn'],['the Federation of American Hospitals'],The New York Times,0
86,108,"'The Trump administration has painted itself into an ideological corner on this, and millions of Americans are going to pay the price,” Eliot Fishman, senior director of health policy at the consumer group Families USA, said in an email.\n'",['Eliot Fishman'],['Families USA'],The New York Times,0
87,109,"'They have so much stock,” said Leo Friedman, the company’s chief executive, during an interview Thursday.'",['Leo Friedman'],['’s'],The New York Times,0
88,110,"'Every homeless New Yorker in a congregate setting or those living on the street should be afforded the same opportunity to self-distance,” said Paulette Soltani, political director of VOCAL-NY, an advocacy organization, who called for 30,000 more hotel rooms to be made available. \n'",['Paulette Soltani'],['VOCAL-NY'],The New York Times,0
92,112,"'Physicians are only paid in our clinic based on their productivity in the work they do,” said Dr. Pam Cutler, the president of Western Montana Clinic in Missoula.'",['Pam Cutler'],['Western Montana Clinic'],The New York Times,0
93,112,"'Many of these smaller practices were living on a financial edge to start with, so they’re not entering into this in a good position at all,” said Dr. Gary Price, the president of the Physicians Foundation.'",['Gary Price'],['the Physicians Foundation'],The New York Times,0
94,113,"'Rosalyn Drexler, writing in The Times, praised Ms. Bosworth’s “total immersion in the subject as well as her artistry.'","['Rosalyn Drexler', 'Bosworth']",['Times'],The New York Times,0
95,113,"'(“the high point of my acting career”) and a character based on Nora Ephron in “Howie,” a 1959 play by Nora’s mother, Phoebe Ephron.\n\n\n'","['Howie', 'Nora Ephron', 'Nora']","[""Phoebe Ephron.\\n\\n\\n'""]",The New York Times,0
97,125,"'Part of the reason we do it is a lot of teachers give us a lot of work right now,” said James, 16, who runs a Zoom raid account.'",['James'],['Zoom'],The New York Times,0
98,129,"'Obviously that puts pressure on trying to find staff to support those patients,” said Terry Lynam, a Northwell spokesman.'",['Terry Lynam'],['Northwell'],The New York Times,0
99,129,"'If you’re employed by us, it is expected you can be reassigned to an area of need,” David Battinelli, Northwell’s chief medical officer, said in an interview.'",['David Battinelli'],['Northwell'],The New York Times,0
102,134,"'Not sending your kids will decrease the likelihood of them becoming vectors for spreading the virus,” said Dr. Justin Lessler, Ph.D., an infectious disease epidemiologist at the Johns Hopkins Bloomberg School of Public Health, and one of the co-authors of the Chinese contact-tracing study.\n'","['Ph.D.', 'Justin Lessler']",['the Johns Hopkins Bloomberg School of Public Health'],The New York Times,0
103,140,"'It opened my eyes,” Dr. Ramjee told The Guardian in 2007.\n'","['2007.\\n', 'Ramjee']",['Guardian'],The New York Times,0
104,140,"'Winnie Byanyima, executive director of UNAIDS, a global organization working on the issue, called Dr. Ramjee’s death “a huge loss at a time when the world needs her most.”\n'","['Winnie Byanyima', 'Ramjee']",['UNAIDS'],The New York Times,0
105,141,"'To the Editor:\nIn 2015, Morton Ann Gernsbacher, a professor at the University of Wisconsin-Madison, published an article in the journal Policy Insights From the Behavioral and Brain Sciences entitled, “Video Captions Benefit Everyone.'",['Morton Ann Gernsbacher'],"['the University of Wisconsin-Madison', 'the Behavioral and Brain Sciences']",The New York Times,0
106,143,"'Dismissing the notion that many employees were aggrieved by Amazon’s handling of the pandemic, Ms. Kish pointed out that, “the vast majority” continue to show up every day and do “heroic work.'",['Kish'],['Amazon'],The New York Times,0
107,144,"'I think the vast amount of data would suggest that the coronavirus is an airborne infection carried by respiratory droplets, and it also can be passed on by direct contact,” said Dr. Siddhartha Mukherjee, assistant professor of medicine at Columbia University, who recently wrote an article about how the coronavirus behaves inside patients.'",['Siddhartha Mukherjee'],['Columbia University'],The New York Times,0
108,144,"'I don’t think there is any evidence that this is going to make things worse, but there is evidence that it provides some additional good,” said Robert Hecht, professor at the Yale School of Public Health, who was the co-author of the face mask article with Dr. Soe-Lin.'","['Soe-Lin', 'Robert Hecht']",['the Yale School of Public Health'],The New York Times,0
109,151,"'We can confidently say from the data from many countries that being male is a risk factor,” said Sabra Klein, a scientist at Johns Hopkins Bloomberg School of Public Health who studies sex difference in viral infections.'",['Sabra Klein'],['Johns Hopkins Bloomberg School of Public Health'],The New York Times,0
110,152,"'We’ve recorded most of our performances and will be repackaging past shows so that new audiences can enjoy them while housebound,” said Paul Morris, the organization’s executive director.'",['Paul Morris'],['’s'],The New York Times,0
111,155,"'Cracking down on the hoarding of vital supplies allows us to distribute this material to the heroic health care workers on the front lines who are most in need,” Alex M. Azar II, the U.S. Health and Human Services secretary, said in a statement on Thursday.\n'",['Alex M. Azar II'],['the U.S. Health and Human Services'],The New York Times,0
112,156,"'If you’re due a refund, you might as well file as quickly as you can,” said Cindy Hockenberry, director of tax research and government relations with the National Association of Tax Professionals, a trade group.\n'",['Cindy Hockenberry'],['the National Association of Tax Professionals'],The New York Times,0
113,158,"'This is nothing compared to what we’re going to see,” said Stephanie Pomboy, president of MacroMavens, an independent research firm.'",['Stephanie Pomboy'],['MacroMavens'],The New York Times,0
114,158,"'The speed of the job losses is unlike anything we’ve ever seen,” said Gabriel Mathy, an assistant professor at American University whose specialty is economic history.'",['Gabriel Mathy'],['American University'],The New York Times,0
115,158,"'We’re in a delicate period in which a mild recession could turn into something more damaging,” said Carl Tannenbaum, chief economist for Northern Trust.'",['Carl Tannenbaum'],['Northern Trust'],The New York Times,0
118,163,"'There are not enough supplies for health care workers and essential employees,” said State Senator Jill Carter, a Democrat.\n'",['Jill Carter'],['State'],The New York Times,0
119,163,"'I don’t care if we have F.D.A. approval or not,” Mr. Hogan said into a speakerphone in the governor’s reception room, where he was flanked by a container of Purell and a 9 a.m. Diet Coke, with aides sitting six feet apart around a large table.'","['Hogan', 'Diet Coke']",['Purell'],The New York Times,0
120,164,"'It is rare to see something change so dramatically in a two-week period,” said Mollyann Brodie, the executive director of the foundation’s survey research program.'",['Mollyann Brodie'],['’s'],The New York Times,0
121,166,"'We talked to a number of folks at the White House and Homeland Security,” said Lawrence Keane, general counsel for the National Shooting Sports Foundation, a trade group.'",['Lawrence Keane'],['the National Shooting Sports Foundation'],The New York Times,0
122,166,"'They are reaching out to other gun rights groups for this election,” Alan Gottlieb, head of the Second Amendment Foundation, said in an interview earlier this year.'",['Alan Gottlieb'],['the Second Amendment Foundation'],The New York Times,0
123,167,"'That’s obvious to most people, and a C.E.O. will have this defense at his or her disposal,” said Tony Fratto, a former assistant secretary of the Treasury and a former deputy press secretary for President George W. Bush.\n'","[""George W. Bush.\\n'"", 'Tony Fratto']",['Treasury'],The New York Times,0
124,168,"'At a Tuesday news briefing, Secretary of State Mike Pompeo urged Americans “to work your way back here,” saying he could not guarantee “the U.S. government'",['Mike Pompeo'],['State'],The New York Times,0
125,170,"'Not everyone has been able to slow down,” Kerry Diamond, the magazine’s founder, said in an email.\n'",['Kerry Diamond'],['’s'],The New York Times,0
126,171,"'We have heard from public health officials that this same type of aggregated, anonymized data could be helpful as they make critical decisions to combat Covid-19,” Jen Fitzpatrick, a senior vice president for Google Maps, and Karen DeSalvo, chief health officer at Google Health, wrote in the blog post.\n'","['Jen Fitzpatrick', 'Karen DeSalvo']","['Google Maps', 'Google Health']",The New York Times,0
127,172,"'Exempting health care providers and emergency responders threatens our nation’s ability to fight back against the coronavirus and makes us all more vulnerable,” said Heather Boushey, the president of the Washington Center for Equitable Growth, a think tank focused on inequality and growth.'",['Heather Boushey'],['the Washington Center for Equitable Growth'],The New York Times,0
128,172,"'The legislation ultimately passed the Senate and was signed into law last month, with Senator Mitch McConnell of Kentucky, the majority leader, counseling Republicans “to gag and vote for it anyway.'",['Mitch McConnell'],['Senate'],The New York Times,0
129,174,"'We’re getting hundreds of thousands of more calls on any given day,” said Sarah Waffle Gavin, vice president for global communications and corporate brand at Expedia, which includes sites like Orbitz and HomeAway under its umbrella.'",['Sarah Waffle Gavin'],"['HomeAway', 'Orbitz']",The New York Times,0
130,177,"'The animals are blissfully unaware of what the rest of us have been going through,” said Jim Breheny, the director of the Bronx Zoo.'",['Jim Breheny'],['the Bronx Zoo'],The New York Times,0
131,182,"'The new cases or deaths each day are given as exact numbers and we’re trained to take that at face value,” said Mark N. Lurie, an epidemiologist at Brown University’s School of Public Health.'",['Mark N. Lurie'],['Brown University’s School of Public Health'],The New York Times,0
132,186,"'The rules have changed,” said Julia Hitch, a psychologist in Seattle whose practice is in part devoted to treating children and adults with O.C.D.\n'",['Julia Hitch'],['O.C.D.\\n'],The New York Times,0
133,187,"'It started as something fun to do while taking the kids out for a walk: How many bears can we spot today?” said Annelee Scott, 44, Elijah and Avah’s mother.'",['Annelee Scott'],['Avah’s'],The New York Times,0
134,188,"'The governor’s brother, Chris Cuomo, the CNN anchor, asked what he thought of President Trump’s repeated insinuation that health care workers in New York City were stealing medical supplies from hospitals by taking them “out the back door.”\n'","['Trump’s', 'Chris Cuomo']",['CNN'],The New York Times,0
136,190,"'Despite the cuts in spending, Mr. Cuomo lavished praise on the Legislature for agreeing on a budget in trying times, insisting that 2020 will be considered “as a productive legislative session as we’ve had.'",['Cuomo'],['Legislature'],The New York Times,0
