,0,1,2,3,4
0,134,1233.0,"'The deans of 15 New York law schools wrote to Chief Judge Janet DiFiore of the\xa0state\'s Court of Appeals Wednesday urging them to consider ""provisional, temporary authorization for 2020 graduates,"" allowing them to work under a licensed attorney until they can take either the February or July bar exam in 2021.\n'",['Janet DiFiore'],Court of Appeals for the Armed Forces
0,140,1287.0,"'""I am glad that the Administration is listening to the start-up community and allowing them to participate in the Small Business Administration stimulus program,"" Khanna said, just days after he and House Speaker Nancy Pelosi, D-Calif.\xa0'","['Nancy Pelosi', 'Khanna']",Congress—U.S. House of Representatives
0,144,1310.0,"'President Trump fired back at Senate Minority Leader\xa0Chuck Schumer, D-N.Y., in a scathing letter,\xa0responding to criticism of his handling of the\xa0coronavirus crisis, telling Schumer: ""I never knew how bad of a senator you are.'","['Schumer', 'Trump']",Senate
0,152,1360.0,"'Supporters of the president have accused Twitter of setting a double standard after the platform labeled a clip posted by White House social media director Dan Scavino ""manipulated"" that showed Biden saying ""we can only reelect Donald Trump"" out of context but left the Biden ad of Trump alone.\n'","['Dan Scavino', 'Biden']",White House
0,162,1457.0,"'On Tuesday, White House coronavirus task force advisor Dr. Anthony Fauci told CNN “the idea of getting broad community-wide use of masks is under active discussion” at the Centers for Disease Control and Prevention (CDC).\n'",['Anthony Fauci'],White House
0,163,1458.0,"""Dr. Anthony Fauci, the top infectious disease expert with the White House coronavirus task force, has criticized China's decision to reopen the markets, calling the move misguided, according to a tweet by Graham after a phone call with Fauci.\n""",['Anthony Fauci'],White House
0,165,1462.0,"'Two days earlier, Trump said he had instructed Vice President Mike Pence, the leader of the White House pandemic response, not to call “the woman in Michigan.'",['Mike Pence'],White House
0,171,1529.0,"'If we don\'t do something to stop this spike in the curve, the fact is we will not have ICU beds and ventilators,"" Hogan told ""Bill Hemmer Reports.'","['Hogan', 'Bill Hemmer Reports']",Agriculture Library
0,181,1686.0,"'We respectfully submit that the unprecedented circumstances described above concerning the spread of COVID-19 in the United States, the extreme danger to elderly prisoners with high risk factors who enter or remain in incarceration, and the fact that BOP may have to isolate new prisoners in local and county facilities that may be ill-equipped for such tasks, combined with Mr. Collins’ own high risk factors for susceptibility to severe COVID-19 illness,"" Collins\' request said, ""constitutes good cause for continuing the Report Date of Mr. Collins to the designated facility from April 21, 2020 to 2:00 p.m. on June 23, 2020.'",['Collins'],Bureau of Prisons (BOP)
0,185,1706.0,"'Last week, President Trump quickly signed historic legislation that helps American workers confront and respond to the many economic challenges ahead, such as increased unemployment claims,"" White House Deputy Press Secretary Judd Deere said.'",['Judd Deere'],White House
0,190,1723.0,"""Cuomo got his start in politics managing his father's gubernatorial campaigns, according to a 2010 profile by the New York Times, before serving as the Secretary of Housing and Urban Development for the final three years of former President Bill Clinton's administration.""",['Bill Clinton'],Department of Housing and Urban Development (HUD)
0,207,1903.0,"'The surge is coming, and it’s coming pretty strong,” President Trump said in a White House press briefing Tuesday.'",['Trump'],White House
0,208,1950.0,"'""We must take swift action to ensure that people can stay home to slow the spread of this deadly virus and that our economy can be supported so it can rebound when the medical experts and scientists say it is safe to do so,"" House Democratic Leader Steny Hoyer said as he kicked off three hours of debate on the measure.\n'",['Steny Hoyer'],Congress—U.S. House of Representatives
0,212,1954.0,"'What we’re looking at now is the apex -- the top of the curve -- roughly at the end of April, which means another month of this,” Cuomo said at a state Capitol news briefing.\n'",['Cuomo'],Architect of the Capitol
0,217,1981.0,"'According to OANN anchor Alex Salvi, Rion was invited as a special guest of White House Press Secretary Stephanie Grisham.\n'","['Alex Salvi', ""Stephanie Grisham.\\n'"", 'Rion']",White House
0,247,2136.0,"'A day after President Trump called for a $2 trillion ""very big and bold"" infrastructure spending plan, House Speaker Nancy Pelosi\xa0answered with Democrats\' spending bill that\'s in the ""ballpark of the same amount of investment for the future,"" she said.\n'","['Trump', 'Nancy']",Congress—U.S. House of Representatives
0,260,2235.0,"'I\'m going to tell [Treasury] Secretary [Steven] Mnuchin ... to immediately start looking into the reinstalling of deductibility of meals and entertainment costs for corporations that set the restaurant business back a lot when it was done originally and then done not so long ago,"" the president said.\n'","['Steven', 'Mnuchin']",Department of the Treasury
0,273,2367.0,"'The doctors of Hawaii Emergency Physicians Associated appreciate Hawaiian Airlines facilitating us traveling to Critical Access Hospitals across the state and particularly to isolated communities on Moloka‘i and Kaua‘i,” said HEPA President Dr. Craig Thomas and Vice President of Operations Dr. Katherine Heinzen Jim, via a press release.\n'","['Katherine Heinzen Jim', 'Craig Thomas']",Special Operations Command
0,277,2394.0,"'Well, number one, I\'m not interested in any more of Speaker Pelosi\'s spending porn or any other member of Congress for that matter,"" Kennedy asserted.'",['Kennedy'],Congress—U.S. House of Representatives
0,279,2402.0,"'When it first announced that Charles had tested positive for COVID-19, Clarence House said it is ""not possible to ascertain"" whom Charles may have caught the virus from, and the office made note of a ""high number of engagements"" he carried out in recent weeks.\n'",['Charles'],Congress—U.S. House of Representatives
0,281,2406.0,"'House Speaker Nancy Pelosi, who had pushed for $4 billion in funding for election assistance,\xa0predicts that “in terms of elections, I think we’ll probably be moving to vote by mail.'",['Nancy Pelosi'],Congress—U.S. House of Representatives
0,285,2413.0,"'100,000-240,000 Americans are projected to die because of Donald Trump’s mismanagement,” Jeremy Slevin wrote in a tweet three times late Tuesday, just hours after the president and the White House warned that the U.S. could see that range of deaths due to COVID-19.\n'",['Jeremy Slevin'],White House
0,288,2459.0,"'While the IHR\'s internal website provides a platform for all countries to share information on the epidemic and their response, none of the information shared by our country\'s (Centers for Disease Control) is being put up there,"" Taiwan\'s Vice President Chen Chien-ien said.\n'",['Chen Chien-ien'],Centers for Disease Control and Prevention (CDC)
0,291,2465.0,"'Thirteen Democratic members of Congress sent DeSantis a letter on Tuesday, urging him to “immediately issue a statewide stay-at-home order to save lives.'",['DeSantis'],Congress—U.S. House of Representatives
0,292,2473.0,"'Due to the outbreak of respiratory illness caused by COVID-19 and its impact on mariners and vessel operations, an increased number of foreign passenger vessels have required medical evacuations of both stable and critically-ill persons, including those with an influenza-like illness (ILI) such as COVID-19,” said E.C. Jones, Coast Guard Rear Admiral and Seventh District Commander.\n'",['E.C. Jones'],Coast Guard
0,311,2590.0,"'This is going to be a rough two-week period,” President Trump said Tuesday at a White House news briefing.'",['Trump'],White House
0,313,2640.0,"'The new research suggests dynamics of coughs and sneezes found these “exhalations cause gaseous clouds,” that have the ability to travel up to 27 feet, Dr. Lydia Bourouriba, an MIT associate professor, told the newspaper.\n\n\n'",['Lydia Bourouriba'],Smithsonian Institution
0,319,2679.0,"'""For these small businesses, as for many others across America, access to forgivable PPP loans will be critical to preserving jobs during the coronavirus pandemic and to securing American\'s leadership in science, technology and innovation,"" Pelosi and Khanna wrote in a letter to Treasury Secretary Steve Mnuchin and the SBA.\n'",['Steve Mnuchin'],Department of the Treasury
0,321,2708.0,"'Russia and Saudi Arabia are going at it,” President Trump said at a White House news briefing Tuesday, pointing to the steep decline in oil prices as a threat to the American energy industry.\n'",['Trump'],White House
0,322,2711.0,"'Russia and Saudi Arabia are going at it,” President Trump said at a White House news briefing Tuesday, pointing to the steep decline in oil prices as a threat to the American energy industry.\n'",['Trump'],White House
0,324,2723.0,"'All of us in the National Guard are grateful for his service to our nation, as a Citizen and as a Soldier,""\xa0Gen. Joseph Lengyel, Chief of the National Guard Bureau, said in a statement Tuesday.\n'",['Joseph Lengyel'],National Guard
0,327,2733.0,"'All of us in the National Guard are grateful for his service to our nation, as a Citizen and as a Soldier,""\xa0Gen. Joseph Lengyel, Chief of the National Guard Bureau, said in a statement Tuesday.\n'",['Joseph Lengyel'],National Guard
0,335,2819.0,"'John F. Kennedy Center for Performing Arts shot at dusk across the Potomac in Georgetown\n      \n\n\nScalise, for his part, slammed Pelosi for directing ""millions in relief funding to special interests.'",['Potomac'],John F. Kennedy Center for the Performing Arts
0,346,2906.0,"""We are anticipating the substantial reduction in the availability of US AMDAR data to continue over the coming weeks, likely to generate some measure of impact on the output of our numerical weather prediction systems,” NOAA's Christopher Hill said in an ECMWF news release.\n""",['Christopher Hill'],NOAA Fisheries
0,364,3093.0,"'House Speaker Nancy Pelosi, D-Calif., also expressed the need for further legislation, telling CNN that Democrats “had bigger direct payments in our bill, and we think we’ll get more direct payments in another bill.'",['Nancy Pelosi'],Congress—U.S. House of Representatives
0,377,3178.0,"'Agency Director Christopher Krebs on Saturday told states that ""[w]orkers supporting the operation of firearm or ammunition product manufacturers, retailers, importers, distributors, and shooting ranges"" are part of the ""essential critical infrastructure workforce.'",['Christopher Krebs'],Agency for Global Media
0,378,3178.0,"'Agency Director Christopher Krebs on Saturday told states that ""[w]orkers supporting the operation of firearm or ammunition product manufacturers, retailers, importers, distributors, and shooting ranges"" are part of the ""essential critical infrastructure workforce.'",['Christopher Krebs'],Agency for Global Media
0,379,3179.0,"'Pelosi told The New York Times that if Congress repealed the cap and made it retroactive for 2018 and 2019, it would give Americans “more disposable income, which is the lifeblood of our economy, a consumer economy that we are.”\nHouse Democrats have been trying to repeal the SALT cap without success.'",['Pelosi'],Congress—U.S. House of Representatives
0,396,3351.0,"'When finalized, the rule will benefit our economy, will improve the U.S. fleet\'s fuel economy, will make vehicles more affordable, and will save lives by increasing the safety of new vehicles,"" EPA spokeswoman Corry Schiermeyer said Monday, ahead of the expected release.\n'",['Corry Schiermeyer'],Commerce Department (DOC)
0,403,3387.0,"'They take some of the virus and put it onto cells,"" Dr. Kathleen Gibson, a core laboratory services division chief at the U.S. Army\'s Medical Research Institute of Infectious Diseases [USAMRIID], explained through a triple-glass window as Army researchers wearing protective gear worked with the deadly virus.'",['Kathleen Gibson'],Army
0,406,3420.0,"'The preservation of our Marines, recruits and their families is the highest priority for Marine Corps Recruiting during this national emergency,” said Gen. David H. Berger, Commandant of the Marine Corps.'",['David H. Berger'],Marine Corps
0,410,3441.0,"'Our offensive strategy in 2020 is paying off, as Democrats continue to expand the Senate battlefield,” Senate Majority PAC president J.B. Poersch touted.'",['J.B. Poersch'],Senate
0,416,3534.0,"'The leaders also discussed critical bilateral and global issues,” White House spokesman Judd Deere said Monday.'",['Judd Deere'],White House
0,433,3653.0,"'The guidance, which came from\xa0Cybersecurity and Infrastructure Security Agency Director Christopher Krebs on Saturday, tells states that ""[w]orkers supporting the operation of firearm or ammunition product manufacturers, retailers, importers, distributors, and shooting ranges"" are part of the ""essential critical infrastructure workforce.'",['Christopher Krebs'],Cybersecurity and Infrastructure Security Agency (CISA)
0,434,3653.0,"'The guidance, which came from\xa0Cybersecurity and Infrastructure Security Agency Director Christopher Krebs on Saturday, tells states that ""[w]orkers supporting the operation of firearm or ammunition product manufacturers, retailers, importers, distributors, and shooting ranges"" are part of the ""essential critical infrastructure workforce.'",['Christopher Krebs'],Cybersecurity and Infrastructure Security Agency (CISA)
0,440,3701.0,"'House Speaker Nancy Pelosi, D-Calif., also expressed the need for further legislation, telling CNN that Democrats “had bigger direct payments in our bill, and we think we’ll get more direct payments in another bill.'",['Nancy Pelosi'],Congress—U.S. House of Representatives
0,451,3781.0,"'On Monday morning, Broward County Commissioner Michael Udine had said the ships already completed passage through the Panama Canal, but claimed the U.S. Coast Guard had not yet granted permission for the ships “to enter U.S. waters until a plan is submitted and approved,” according to a tweet from Udine.'",['Michael Udine'],U.S. Coast Guard
0,452,3782.0,"'We will continuously evaluate the situation based on regulations and demand, and will update the market when we have a view.”\nMoving forward, EasyJet and the union Unite have reached an agreement on furlough plans for cabin crew employees.'",['EasyJet'],Export-Import Bank of the United States
0,455,3786.0,"'Paul Quinn, a resident of Central who lives near the church, asks why the congregation can\'t just go online to keep others safe: ""What makes them so special?'",['Paul Quinn'],Central Command (CENTCOM)
0,457,3807.0,"'(U.S. Navy photo by Mass Communication Specialist 2nd Class Erwin Jacob Miciano)\n\n\n""#USNSMercy is open for business!'",['Jacob Miciano)\\n\\n\\n'],U.S. Navy
0,458,3807.0,"'Being able to accept our first patients is a true testament of the teamwork between Mercy, the Navy, the State of California, the county of Los Angeles, and the City and Port of L.A.”\nUSNS MERCY MISSION AIMS TO EASE STRAIN ON LOS ANGELES-AREA HOSPITALS, COMMANDER SAYS\nPhotos released by the Navy on Sunday show sailors transporting a patient to be admitted on the hospital ship.\n\n      '","['STRAIN ON', 'SAYS\\nPhotos']",Navy
0,467,3859.0,"'Margaret Sullivan, a columnist with the Washington Post, has called\xa0for the media to cease broadcasting the White House briefings, claiming they are full of “exaggeration and outright lies.'",['Margaret Sullivan'],White House
0,469,3905.0,"'They’re still coming out in numbers getting food regardless of what the governor puts out,” said Hai Clay, a retired Army captain and president of Community Warriors. \n\n      '",['Hai Clay'],Army
0,474,4004.0,"'We are using every tool available to get through this national crisis as fast as possible and get our great American economic juggernaut back to work,” Air Force Gen. Joseph Lengyel, the chief of the National Guard Bureau, said.'",['Joseph Lengyel'],Air Force
0,486,4094.0,"""That’s really very flexible,” Dr. Anthony Fauci, the head of the National Institute of Allergy and Infectious Diseases and a prominent member of the White House's coronavirus task force, said on Tuesday of Trump's Easter timeline.\xa0""","['Anthony Fauci', 'Infectious Diseases']",White House
0,498,4233.0,"'An attorney in the Supreme Court case, Joshua Prince, credited a dissenting opinion from Commonwealth Supreme Court Justice David Wecht and two other justices,\xa0who wrote that the initial policy indicated an ""absolute and indefinite prohibition upon the acquisition of firearms by the citizens of this commonwealth.'","['Joshua Prince', 'David Wecht']",Supreme Court of the United States
0,504,4365.0,"'On Friday, Massie told Harrisburg, Pa., radio host Ken Matthews -- substituting for Rush Limbaugh on his nationally syndicated program -- that his goal was to prevent Congress from ""kill[ing] our republic in an empty room by unanimous consent.'","['Ken Matthews', 'Rush']",Congress—U.S. House of Representatives
0,510,4423.0,"'It\'s a scary time for kids right now,"" said Rittmeyer, an author and\xa0former Marine.'",['Rittmeyer'],Marine Corps
0,511,4426.0,"'Today the President signed an Executive Order authorizing Secretary Esper to order units and individual members in the National Guard and Reserves and certain Individual Ready Reserve members, to active duty to augment forces for the effective response to the coronavirus outbreak,"" Pentagon spokesman\xa0Jonathan Hoffman said in a statement.\n'",['Hoffman'],Pentagon Force Protection Agency
0,512,4448.0,"'Modly said the ships -- painted white and adorned with large red crosses -- have become a symbol of the United States\' compassion and ""capability to respond quickly to crises.'",['Modly'],Administrative Conference of the United States
0,528,4548.0,"'This is a rescue mission you’re on,” Cuomo told a contingency of National Guard troops inside the Javits Center.'",['Cuomo'],National Guard
0,531,4586.0,"'""President Trump\'s response to the coronavirus pandemic has been bold, exceptional and so far successful, but it is also clear that he is still forced to function within many of the swamp\'s long-standing, dysfunctional practices,” Michael Johns, a co-founder of the national Tea Party movement and a former White House speechwriter for President George H.W. Bush, told Fox News.\n'","['George H.W. Bush', 'Michael Johns', ""Fox News.\\n'""]",White House
0,540,4719.0,"'""An insufficient number having risen, a recorded vote is refused,"" Brown said after taking a quick glance out into the House chamber, prompting Massie to use his next delay tactic.\n'",['Brown'],Congress—U.S. House of Representatives
0,541,4719.0,"'""A quorum is present, the motion is adopted,"" Brown announced to a cheering House chamber.'",['Brown'],Congress—U.S. House of Representatives
0,559,4884.0,"'Appearing on ""Fox  Friends"" with hosts Steve Doocy, Ainsley Earhardt, and Brian Kilmeade, Cruz said that he would not be ""terribly concerned"" about the question of procedure for members of Congress because ""it\'s clear the House is going to pass it.'","['Brian Kilmeade', 'Steve Doocy', 'Ainsley Earhardt', 'Cruz']",Congress—U.S. House of Representatives
0,568,4927.0,"'""We must take swift action to ensure that people can stay home to slow the spread of this deadly virus and that our economy can be supported so it can rebound when the medical experts and scientists say it is safe to do so,"" House Democratic Leader Steny Hoyer said as he kicked off three hours of debate on the measure.\n'",['Steny Hoyer'],Congress—U.S. House of Representatives
0,569,4933.0,"'Senate Majority Leader Mitch McConnell ""jammed his own caucus to pass @SpeakerPelosi bill because he knows we are in a catastrophe and action needed,"" Hewitt tweeted.'",['Mitch McConnell'],Senate
0,574,4995.0,"'Asked to comment on the morale of the White House coronavirus task force, Azar said everybody remains ""focused on the mission,"" and dispelled rumors of tensions between the president and the medical experts.\n'",['Azar'],White House
0,587,5062.0,"'""EPA is committed to protecting human health and the environment, but recognizes challenges resulting from efforts to protect workers and the public from COVID-19 may directly impact the ability of regulated facilities to meet all federal regulatory requirements,""\xa0said EPA Administrator Andrew Wheeler.'",['Andrew Wheeler'],Commerce Department (DOC)
0,589,5062.0,"""Giles added that she couldn't remember a time\xa0in the EPA’s half-century history where it “relinquished its fundamental authority.""",['Giles'],Commerce Department (DOC)
0,601,5190.0,"'""Many inmates will be safer in BOP facilities where the population is controlled and there is ready access to doctors and medical care,"" Barr wrote in a two-page memo to BOP on Thursday.'",['Barr'],Bureau of Prisons (BOP)
0,622,5344.0,"'In a memo to senior Justice Department leaders and law enforcement leaders on Tuesday, Deputy Attorney General Jeffrey Rosen stated that ""because coronavirus appears to meet the statutory definition of a \'biological agent\' such acts potentially could implicate the nation\'s terrorism-related statues.'",['Jeffrey Rosen'],Department of Justice (DOJ)
0,634,5430.0,"'Among them are a “better definition of who qualifies for family and medical leave,” greater OSHA protection for workers, a proposal for pensions that Pelosi said Trump approved and Senate Majority Leader Mitch McConnell, R-Ky., said could be in the next bill, a 15 percent increase in food stamps, and additional funds for state and local governments.\n'","['Mitch McConnell', 'R-Ky']",Senate
0,639,5481.0,"'Among them are a “better definition of who qualifies for family and medical leave,” greater OSHA protection for workers, a proposal for pensions that Pelosi said President Trump approved and Senate Majority Leader Mitch McConnell, R-Ky., said could be in the next bill, a 15 percent increase in food stamps, and additional funds for state and local governments.\n'","['Mitch McConnell', 'R-Ky']",Senate
0,650,5568.0,"'We are trending higher,"" Modly said, regarding the Navy accounting for roughly one-third of all U.S. military positive cases.\n'",['Modly'],Navy
0,657,5582.0,"'But it’s the younger generations, according to Dr. Deborah Birx, White House coronavirus response coordinator, who can play a crucial role in stopping the spread of COVID-19.\n'",['Deborah Birx'],White House
0,660,5594.0,"'Here are some of the improvements,” Senate Minority Leader Chuck Schumer said in an announcement\xa0about the changes introduced to the bill by him and his party, including, “'",['Chuck Schumer'],Senate
0,662,5627.0,"'White House coronavirus task force member Anthony S.\xa0Fauci has said: ""it will take at least a year to a year in a half to have a vaccine we can use.'",['Anthony S.\\xa0Fauci'],White House
0,668,5660.0,"'""By the time you get all gowned up and double-gloved the patient is going to be dead,” Fred Wyese, an ICU nurse in Michigan, told The Post.'",['Fred Wyese'],Agriculture Library
0,669,5660.0,"'From a safety perspective you can make the argument that the safest thing is to do nothing,” Bruno Petinaux, chief medical officer at GW told The Post.'",['Bruno Petinaux'],Military Postal Service Agency
0,676,5675.0,"'Senate OKs $2T coronavirus relief package; House set to vote Friday\n\nBy a vote of 96-0, the Senate passed a massive $2 trillion coronavirus relief compromise package just before midnight Wednesday, ending days of deadlock and sending the bill to the House -- which Speaker Nancy Pelosi said would soon take up the historic measure to bring aid to individuals, small businesses and larger corporations ""with strong bipartisan support.'",['Nancy Pelosi'],Senate
0,679,5726.0,"'Our freedoms are not free -- we must fight for them or risk losing them,” said Rose, who is an Army veteran, after Cohn’s prayer on the House floor.'",['Rose'],Army
0,680,5726.0,"'Rabbi Cohn’s career is merely a continuation of a lifetime of fighting for the Jewish faith,” Rose had said after the rabbi’s prayer before Congress.'",['Rose'],Congress—U.S. House of Representatives
0,681,5774.0,"'""A fight has arrived on our shores,"" said Senate Majority Leader Mitch McConnell.'",['Mitch McConnell'],Senate
0,689,5849.0,"'""We just lost a young nurse in Saint Louis to the Wuhan virus,"" lamented Dr. Scott Magill, executive director of Veterans in Defense of Liberty\xa0and former U.S. Army Medical Corps soldier.'",['Scott Magill'],Army
0,693,5875.0,"'Upon reaching an agreement with Republicans and the White House, Senate Minority Leader Chuck Schumer, D-N.Y., said\xa0the bill amounts to\xa0“unemployment compensation on steroids,"" and that every American who is laid off will have their missed salary remunerated.'",['Chuck Schumer'],Senate
0,700,5910.0,"'The massive payout -- which the bill says would ""make fiscal stabilization grants to public television and radio stations facing declines in non-federal revenues"" -- is less than the $300 million that House Speaker Nancy Pelosi, D-Calif., had proposed in her own coronavirus stimulus proposal.'",['Nancy Pelosi'],Congress—U.S. House of Representatives
0,702,5945.0,"'""Seniors, veterans, the unemployed and low-income Americans would be eligible too,"" Senate Finance Committee Chairman Chuck Grassley said Wednesday.\n'",['Chuck Grassley'],Senate
0,703,5949.0,"""House Speaker Nancy Pelosi, D-Calif., defended her caucus' push for a sweeping alternative to Senate Republicans' coronavirus relief package, arguing that “everything we are suggesting just relates to COVID-19.”\nRepublicans have accused\xa0Democrats of\xa0exploiting the coronavirus crisis in order to push their policy agenda.""",['Nancy Pelosi'],Senate
0,704,5949.0,"'House Majority Whip James Clyburn, D-S.C., reportedly told members of the House Democratic caucus\xa0last week\xa0that the coronavirus crisis represented\xa0“a tremendous opportunity to restructure things to fit our vision.”\n'","['D-S.C.', 'James Clyburn']",Congress—U.S. House of Representatives
0,707,5965.0,"'My wife Liz has had similar symptoms.”\nPELOSI INDICATES SUPPORT FOR SENATE CORONAVIRUS BILL\xa0\nMoulton said that prior to experiencing symptoms consistent with coronavirus, he had “proactively instructed” his staff in both Salem, Mass. and Washington D.C. to “work entirely from home and self-isolate in order to mitigate the risk of spreading COVID-19.'",['Liz'],Senate
0,716,6063.0,"'We’re utilizing a comprehensive array of resources, including motel rooms and larger shelter spaces, to protect the homeless population during this pandemic,"" Regional Task Force on the Homeless CEO Tamera Kohler said in a statement.\n'",['Tamera Kohler'],Interagency Council on Homelessness
0,718,6080.0,"'The White House said Trump spoke Tuesday with President Moon Jae-in, and\xa0the two discussed their nations\' ""respective efforts to combat the coronavirus pandemic.'",['Moon Jae-in'],White House
0,723,6107.0,"'White House coronavirus task force member Anthony S.\xa0Fauci has said ""it will take at least a year to a year in a half to have a vaccine we can use.'",['Anthony S.\\xa0Fauci'],White House
0,725,6111.0,"'Upon reaching an agreement with Republicans and the White House, Senate Minority Leader Chuck Schumer, D-N.Y., said\xa0the bill amounts to\xa0“unemployment compensation on steroids,"" and that every American who is laid off will have their missed salary remunerated.'",['Chuck Schumer'],Senate
0,728,6135.0,"'The historic package will ""rush new resources onto the front lines of our nation\'s health care fight,” Senate Majority Leader Mitch McConnell, R-Ky., said Wednesday, adding that\xa0""it will inject trillions of dollars of cash into the economy as fast as possible to help Americans workers, families, small businesses and industries make it through this disruption and emerge on the other side ready to soar.'","['Mitch McConnell', 'R-Ky']",Senate
0,729,6135.0,"'The historic package will ""rush new resources onto the front lines of our nation\'s health care fight,” Senate Majority Leader Mitch McConnell, R-Ky., said Wednesday, adding that\xa0""it will inject trillions of dollars of cash into the economy as fast as possible to help Americans workers, families, small businesses and industries make it through this disruption and emerge on the other side ready to soar.'","['Mitch McConnell', 'R-Ky']",Senate
0,730,6138.0,"'R-Ky., an old-fashioned Senate parliamentarian, panned the idea of remote voting last Tuesday, saying he would work to keep senators from spreading the coronavirus among\xa0each other ""without fundamentally changing Senate rules.'",['R-Ky'],Senate
0,744,6297.0,"""Smith also set up Rolo with his own Instagram account —\xa0rolo.thehotdog\xa0— so that interested pup lovers can “follow my journey getting my wag back.”\nCLICK HERE FOR FOX NEWS' CORONAVIRUS COVERAGE\n""",['—\\xa0rolo.thehotdog\\xa0—'],Smithsonian Institution
0,748,6306.0,"'Ladies and gentleman, we are done,"" White House legislative affairs director Eric Ueland announced as he left the office of Senate Majority Leader Mitch McConnell, R-Ky., near midnight.'","['Mitch McConnell', 'Eric Ueland', 'R-Ky']",Senate
0,749,6306.0,"'Senate Minority Leader Chuck Schumer, D-N.Y., said the bill amounts to “unemployment compensation on steroids,"" and that every American who is laid off will have their missed salary remunerated.'",['Chuck Schumer'],Senate
0,750,6309.0,"'U.S. Sen. Marco Rubio tweeted Tuesday that the problems in Peru were due to a “lack of urgency” by mid-level State Department employees, but that a “competent official has taken direct control.'",['Marco Rubio'],State Department (DOS)
0,757,6419.0,"'Sen.\xa0John\xa0Barrasso, R-Wyo., told\xa0""Special Report""\xa0on Tuesday that House Speaker Nancy Pelosi, D-Calif., and Senate Minority Leader\xa0Chuck Schumer, D-N.Y., are ""wasting time that we as a nation do not have"" as Congress continues to negotiate a coronavirus emergency relief bill.\n'","['Nancy Pelosi', 'Schumer']",Senate
0,761,6461.0,"'""I worked very closely with Governor Cuomo, and this is the first time in our nation\'s history that a president used the Stafford Act to declare a major disaster response to a public health crisis,"" Trump said during Saturday\'s White House coronavirus task force press briefing.'",['Cuomo'],White House
